Phase,Run,Species,disp1,disp2,label1,label2,E1,E2,dE_stretch
SP_init,run23,H3O,-0.2,-0.1,m0.2,m0.1,-48101.7438,-48127.8674,-26.123600000006263
SP_init,run23,H3O,-0.1,0.0,m0.1,0.0,-48127.8674,-48133.5542,-5.686799999995856
SP_init,run23,H3O,0.0,0.1,0.0,0.1,-48133.5542,-48128.8046,4.749599999995553
SP_init,run23,H3O,0.1,0.2,0.1,0.2,-48128.8046,-48119.048,9.756600000000617
SP_init,run23,H3O,0.2,0.3,0.2,0.3,-48119.048,-48107.2528,11.795200000000477
SP_init,run23,H3O,0.3,0.4,0.3,0.4,-48107.2528,-48094.9087,12.344100000002072
SP_init,run23,H3O,0.4,0.5,0.4,0.5,-48094.9087,-48082.8117,12.097000000001572
SP_init,run23,H3O,0.5,0.6,0.5,0.6,-48082.8117,-48071.496,11.315699999999197
SP_init,run23,MImH,-0.2,-0.1,m0.2,m0.1,-166573.9687,-166599.1703,-25.201600000000326
SP_init,run23,MImH,-0.1,0.0,m0.1,0.0,-166599.1703,-166604.5918,-5.42149999999674
SP_init,run23,MImH,0.0,0.1,0.0,0.1,-166604.5918,-166599.6945,4.897299999982351
SP_init,run23,MImH,0.1,0.2,0.1,0.2,-166599.6945,-166589.4282,10.266300000017509
SP_init,run23,MImH,0.2,0.3,0.2,0.3,-166589.4282,-166576.7891,12.639100000000326
SP_init,run23,MImH,0.3,0.4,0.3,0.4,-166576.7891,-166563.5578,13.231299999984913
SP_init,run23,MImH,0.4,0.5,0.4,0.5,-166563.5578,-166550.373,13.184800000017276
SP_init,run23,MImH,0.5,0.6,0.5,0.6,-166550.373,-166537.7672,12.605799999990268
SP_init,run23,MeOH,-0.2,-0.1,m0.2,m0.1,-72578.1744,-72607.458,-29.283599999995204
SP_init,run23,MeOH,-0.1,0.0,m0.1,0.0,-72607.458,-72613.5857,-6.127699999997276
SP_init,run23,MeOH,0.0,0.1,0.0,0.1,-72613.5857,-72608.1508,5.434899999992922
SP_init,run23,MeOH,0.1,0.2,0.1,0.2,-72608.1508,-72597.1856,10.965200000006007
