structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0|BSSE=no,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,run110.mmsolvent|BSSE=no
IMZW1_1_WAT1,1,1,1,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,-7.4576,-4.985599999999977,-7.436251002363861,-7.392157272057375,-6.9355000000014115,-5.362300000000687
IMZW2_1_WAT1,2,1,1,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-4.3637999999999995,-2.9962999999988824,-3.892056968237739,-3.8351581691531464,-3.5370999999995547,-4.094500000000153
IMZW2_1_WAT2,2,1,2,OH...N3,OH...N3,H1...N3,1.9089959206844838,162.07196411118053,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-7.1993,-3.952900000000227,-6.085254590638215,-6.042668343900004,-6.276700000000346,-5.2478000000000975
IMZW3_1_WAT1,3,1,1,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,-7.3087,-4.4583999999995285,-6.931850165943615,-6.890346227504779,-6.602899999999863,-5.20259999999962
IMZW3_1_WAT2,3,1,2,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396635,C1-H4-O,CH...O(C1),ok,-1.4634,-0.7245000000002619,-1.589400615572231,-1.571582592005143,-1.6136999999998807,-1.14850000000024
IMZW3_1_WAT3,3,1,3,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,-4.6506,-2.4804000000003725,-3.370972929056734,-3.316347909945762,-3.247299999999086,-4.331299999999828
IMZW4_1_WAT1,4,1,1,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,-1.4905000000000004,-2.1257000000005064,-2.036588227347238,-1.9795766272000037,-1.5221000000001368,-1.4618000000000393
IMZW4_1_WAT2,4,1,2,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345305,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.6759,-2.3233999999993102,-2.147235933720367,-2.1229811187658925,-2.375799999999799,-2.1462000000001353
IMZW4_1_WAT3,4,1,3,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,-6.7021999999999995,-3.3106000000007043,-5.252276902698213,-5.207029820652679,-5.401599999999235,-5.40309999999954
IMZW4_1_WAT4,4,1,4,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,0.6349000000000009,0.5529000000005908,0.3519084124418441,0.37478074748651125,0.5228000000006432,-0.08299999999962893
IMZW5_1_WAT1,5,1,1,NH...O,NH...O,H6...O,1.9336300430496007,149.8937763830087,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-5.076199999999999,-3.238099999998667,-4.554880266514374,-4.489221437688684,-4.964799999999741,-3.643300000000636
IMZW5_1_WAT2,5,1,2,OH...pi(C3),OH...pi,H1...C3,3.158527078055688,98.15414629662314,O-H1-C3,OH...pi(C3);CH...O(C3);OH...pi(N9);OH...pi(C3),ok,-2.770400000000001,-2.5804000000007363,-2.4666341427655425,-2.4345405176864006,-3.02429999999913,-2.488100000000486
IMZW5_1_WAT3,5,1,3,OH...pi(C2),OH...pi,H2...C2,2.6052989471632615,148.5409919885516,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-4.557800000000001,-3.1256999999986874,-4.086333209270379,-4.024533617688576,-3.668999999999869,-4.185999999999694
IMZW5_1_WAT4,5,1,4,OH...N3,OH...N3,H1...N3,1.9091662216355076,155.29811159148,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-6.824,-3.666000000001077,-6.158385708724381,-6.107912197534461,-6.030099999999948,-4.8101000000006024
IMZW5_1_WAT5,5,1,5,CH...O(C3),CH...O,H7...O,2.8326759956384,126.88201965247414,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.8638,-1.613100000000486,-2.605472561001079,-2.575144706206629,-2.540399999999863,-2.3947000000007392
IMZW6_1_WAT1,6,1,1,OH...N3,OH...N3,H2...N3,2.0053116916549407,149.77156002021704,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-6.3308,-3.194099999998798,-5.834156533353962,-5.7907825934526045,-5.516399999998612,-4.53020000000015
IMZW6_1_WAT2,6,1,2,OH...pi(C1),OH...pi,H1...C1,2.464257763499184,146.90926550696025,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-4.314299999999999,-3.094600000000355,-4.014043912029592,-3.954423842194956,-3.50840000000062,-4.218800000000556
IMZW6_1_WAT3,6,1,3,CH...O(C3),CH...O,H7...O,2.664041864751566,137.05749266382014,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.4003999999999994,-1.5534999999999854,-2.074671756621683,-2.0498149743361864,-2.1687999999994645,-1.9677000000001499
IMZW6_1_WAT4,6,1,4,NH...O,NH...O,H6...O,1.9078685189776574,158.1872518348434,N9-H6-O,NH...O;OH...pi(C3),ok,-3.5879,-2.9244999999991705,-3.841910020506475,-3.777416720899055,-4.336300000000847,-2.6445000000003347
IMZW6_1_WAT5,6,1,5,CH...O(C3),CH...O,H7...O,2.940458845056669,111.92094096274079,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-1.5338000000000003,-1.7371000000002823,-1.8030958256858867,-1.7740562509570736,-1.8328000000001339,-1.4645000000000437
IMZW6_1_WAT6,6,1,6,OH...pi(N9),OH...pi,H2...N9,3.28763694681925,95.46009140195285,O-H2-N9,OH...pi(N9),ok,-3.5413,-2.5280000000002474,-2.767729028593749,-2.7423040897992905,-3.143500000000131,-2.962300000000141
IMZW7_1_WAT1,7,1,1,NH...O,NH...O,H6...O,1.8854405637585079,170.10021349781798,N9-H6-O,NH...O,ok,-3.024,-2.4921999999987747,-3.4952989683661144,-3.4370380683685653,-3.88379999999961,-2.1999000000005253
IMZW7_1_WAT2,7,1,2,CH...O(C3),CH...O,H7...O,3.151879932663838,92.29413379670524,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.3235,-0.7426000000014028,-2.1619821347121615,-2.1381814690539613,-2.2255000000004657,-1.6707000000005792
IMZW7_1_WAT3,7,1,3,OH...N3,OH...N3,H2...N3,1.842089490785396,164.97658538838363,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-6.2679,-4.115200000000186,-6.453602033754578,-6.394828538846923,-6.024799999999232,-4.427200000000084
IMZW7_1_WAT4,7,1,4,CH...O(C3),CH...O,H7...O,3.061693172678151,111.27445013001314,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-1.1686000000000005,-1.5856999999996333,-1.5603769005683716,-1.5315190871187951,-1.5812000000005355,-1.110500000000684
IMZW7_1_WAT5,7,1,5,OH...pi(N9),OH...pi,H2...N9,3.2191963801267236,97.06050490844288,O-H2-N9,OH...pi(N9),ok,-3.7068999999999996,-2.619199999999182,-2.9630300152057316,-2.939948009821819,-3.2903000000005704,-3.145300000000134
IMZW7_1_WAT6,7,1,6,OH...pi(C1),OH...pi,H2...C1,2.526980653743317,152.78202213358557,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-4.0947000000000005,-3.1145999999989726,-3.8924255428428296,-3.8278505176422186,-3.3924999999999272,-4.070600000000013
IMZW7_1_WAT7,7,1,7,CH...O(C3),CH...O,H7...O,2.867199583066899,126.16216407440145,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.4784999999999995,-1.495200000001205,-2.070490351616172,-2.0422545732581057,-2.069499999999607,-2.0257000000001426
IMZW8_1_WAT1,8,1,1,CH...O(C3),CH...O,H7...O,3.1270128107978707,111.70501671216958,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-0.6086999999999998,-0.3562000000001717,-0.8576145432016347,-0.8123439728224184,-0.9576999999990221,-0.5517999999992753
IMZW8_1_WAT2,8,1,2,CH...O(C3),CH...O,H7...O,3.00695569122942,158.5508550839731,C3-H7-O,CH...O(C3),ok,0.1253000000000002,-0.1445000000003347,-0.20207085373112932,-0.18605326215038076,0.23179999999956635,-0.016899999999623105
IMZW8_1_WAT3,8,1,3,CH...O(C3),CH...O,H7...O,2.793464771822441,111.25960562789872,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.3136999999999994,-0.9755000000004657,-1.4458920527831651,-1.3984593263885472,-1.9760000000005675,-1.831899999999223
IMZW8_1_WAT4,8,1,4,OH...pi(N9),OH...pi,H1...N9,3.0778106900369946,120.87615743740338,O-H1-N9,OH...pi(N9);CH...O(C3);OH...pi(C3);OH...pi(C3);OH...pi(N9),ok,2.0157000000000007,-0.13429999999971187,0.4493760736368131,0.4765589645539876,0.8770999999997002,1.2010999999993146
IMZW8_1_WAT5,8,1,5,NH...O,NH...O,H6...O,2.0202393510675907,137.6553932957754,N9-H6-O,NH...O;CH...O(C3);OH...pi(C3),ok,-6.1155,-2.997299999999086,-4.977133117266931,-4.915089356072713,-5.10399999999936,-4.675900000000183
IMZW8_1_WAT6,8,1,6,CH...O(C3),CH...O,H7...O,2.6797492930158597,138.8540480822812,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-1.2969000000000004,-0.9681000000000495,-1.415433671005303,-1.375449220999144,-1.723599999999351,-1.072400000000016
IMZW8_1_WAT7,8,1,7,noHbond-close(HH-H7),noHbond-close,H1...H7,2.9674853778824253,,,noHbond-close(HH-H7),ok,-0.8191000000000006,0.16519999999945867,-1.059470349428011,-1.0351648166542873,-0.9861999999993714,-0.6798999999991793
IMZW8_1_WAT8,8,1,8,OH...N3,OH...N3,H2...N3,1.8143927835873908,159.4323172182269,O-H2-N3,OH...N3;OH...pi(C3);CH...O(C3);OH...pi(N9),ok,-7.2875,-4.327900000000227,-7.546616850973805,-7.503790094895521,-6.72649999999885,-5.024399999999332
IMZW9_1_WAT1,9,1,1,CH...O(C3),CH...O,H7...O,3.2636759055901985,149.90620253062946,C3-H7-O,CH...O(C3),ok,-0.1969000000000003,-0.34799999999995634,-0.3538452875800431,-0.32803068551584147,-0.41269999999894935,-0.2547000000004118
IMZW9_1_WAT2,9,1,2,CH...O(C3),CH...O,H7...O,2.71588409482695,119.98719214026694,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-3.3461000000000003,-1.5360000000000582,-2.1618524033983704,-2.1365626684273593,-2.7493000000013126,-2.686899999999696
IMZW9_1_WAT3,9,1,3,OH...pi(C3),OH...pi,H1...C3,2.8705989090386694,109.24628327196292,O-H1-C3,OH...pi(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-0.1515999999999993,-1.707300000000032,-0.7000096715928521,-0.6410417767474428,-0.44539999999869906,-0.43919999999980064
IMZW9_1_WAT4,9,1,4,NH...O,NH...O,H6...O,1.9383797394122753,155.4210585188156,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-2.7683000000000004,-2.6045999999987544,-3.534398765565129,-3.47219850163674,-3.8049000000009983,-2.1392999999989115
