structure,n_imzw,variant,n_wat,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0|BSSE=no,run8|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no,run110.mmsolvent|BSSE=no
IMZW1_1_WAT1,1,1,1,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,-8.345600000000001,-5.278600000001461,-7.134638345247367,-7.090544614940882,-6.723500000000058,-6.812200000000303
IMZW2_1_WAT1,2,1,1,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.4783,-3.680000000000291,-3.7718970986024942,-3.7149982995179016,-3.68080000000009,-3.934900000000198
IMZW2_1_WAT2,2,1,2,OH...N3,OH...N3,H1...N3,1.9089959206844838,162.07196411118053,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-7.7328,-4.58640000000014,-5.902086645306554,-5.859500398568343,-6.396600000000035,-6.507200000000012
IMZW3_1_WAT1,3,1,1,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,-8.777000000000001,-4.819600000000719,-6.592548942193389,-6.5510450037545525,-6.46559999999954,-7.293099999999868
IMZW3_1_WAT2,3,1,2,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396635,C1-H4-O,CH...O(C1),ok,-2.1414,-1.2067999999999302,-1.350965693272883,-1.3331476697057951,-1.6017999999985477,-2.448699999999917
IMZW3_1_WAT3,3,1,3,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,-3.7028,-3.0166000000008353,-3.198866391321644,-3.144241372210672,-3.2637999999988097,-4.005699999999706
IMZW4_1_WAT1,4,1,1,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,-1.8611,-2.5641000000014174,-1.7208274366566911,-1.6638158365094569,-1.3426999999992404,-2.646600000000035
IMZW4_1_WAT2,4,1,2,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345305,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.9747,-2.813799999999901,-1.841067840839969,-1.8168130258854944,-2.278999999998632,-3.259200000000419
IMZW4_1_WAT3,4,1,3,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,-8.5554,-3.7811000000001513,-4.884432899707463,-4.839185817661928,-5.330599999999322,-8.07049999999981
IMZW4_1_WAT4,4,1,4,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,0.0895999999999999,0.02449999999953434,0.6261647764767986,0.6490371115214657,0.5650000000005093,-1.4425000000001091
IMZW5_1_WAT1,5,1,1,NH...O,NH...O,H6...O,1.9336300430496007,149.8937763830087,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-5.6521,-3.6149999999997817,-3.9407091206521727,-3.875050291826483,-4.6924999999992,-5.062300000000505
IMZW5_1_WAT2,5,1,2,OH...pi(C3),OH...pi,H1...C3,3.158527078055688,98.15414629662314,O-H1-C3,OH...pi(C3);CH...O(C3);OH...pi(N9);OH...pi(C3),ok,-3.2684,-2.8738000000012107,-1.8273900695785414,-1.7952964444993995,-2.596299999999246,-3.829200000000128
IMZW5_1_WAT3,5,1,3,OH...pi(C2),OH...pi,H2...C2,2.6052989471632615,148.5409919885516,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.8006,-3.6252000000004045,-3.5944459371676203,-3.5326463455858175,-3.5037999999985914,-4.271899999999732
IMZW5_1_WAT4,5,1,4,OH...N3,OH...N3,H1...N3,1.9091662216355076,155.29811159148,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-8.6911,-4.109900000001289,-5.5490421827707905,-5.49856867158087,-5.887199999999211,-7.520300000000134
IMZW5_1_WAT5,5,1,5,CH...O(C3),CH...O,H7...O,2.8326759956384,126.88201965247414,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.6397,-2.123300000001109,-2.0945615158998407,-2.0642336611053906,-2.42029999999977,-3.0137000000004264
IMZW6_1_WAT1,6,1,1,OH...N3,OH...N3,H2...N3,2.0053116916549407,149.77156002021704,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-7.7107,-3.840299999999843,-5.354212393664056,-5.310838453762699,-5.550599999998667,-6.788900000000467
IMZW6_1_WAT2,6,1,2,OH...pi(C1),OH...pi,H1...C1,2.464257763499184,146.90926550696025,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-3.8325,-3.634200000000419,-3.534291215444682,-3.4746711456100456,-3.3184000000001106,-4.61580000000049
IMZW6_1_WAT3,6,1,3,CH...O(C3),CH...O,H7...O,2.664041864751566,137.05749266382014,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.7424,-2.060800000001109,-1.5253482154221274,-1.5004914331366308,-1.978399999999965,-3.1885000000002037
IMZW6_1_WAT4,6,1,4,NH...O,NH...O,H6...O,1.9078685189776574,158.1872518348434,N9-H6-O,NH...O;OH...pi(C3),ok,-3.7806,-3.3219000000008236,-3.270302219170844,-3.205808919563424,-3.9624000000003434,-3.7160000000003492
IMZW6_1_WAT5,6,1,5,CH...O(C3),CH...O,H7...O,2.940458845056669,111.92094096274079,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-2.4374000000000002,-2.2362000000011903,-1.286339615151519,-1.257300040422706,-1.609599999999773,-3.246900000000096
IMZW6_1_WAT6,6,1,6,OH...pi(N9),OH...pi,H2...N9,3.28763694681925,95.46009140195285,O-H2-N9,OH...pi(N9),ok,-5.3366,-2.975400000001173,-2.149999996268889,-2.1245750574744307,-2.9236999999993714,-5.636400000000322
IMZW7_1_WAT1,7,1,1,NH...O,NH...O,H6...O,1.8854405637585079,170.10021349781798,N9-H6-O,NH...O,ok,-4.2998,-3.083599999999933,-3.0227635795308743,-2.964502679533325,-3.828799999999319,-4.3301000000001295
IMZW7_1_WAT2,7,1,2,CH...O(C3),CH...O,H7...O,3.151879932663838,92.29413379670524,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-4.4025,-1.2943000000013853,-1.6115135882573668,-1.5877129225991666,-2.183999999999287,-4.6041000000004715
IMZW7_1_WAT3,7,1,3,OH...N3,OH...N3,H2...N3,1.842089490785396,164.97658538838363,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-7.5088,-4.54870000000119,-5.8404053743579425,-5.781631879450288,-5.808499999999185,-6.522500000000036
IMZW7_1_WAT4,7,1,4,CH...O(C3),CH...O,H7...O,3.061693172678151,111.27445013001314,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-2.418,-2.1388999999999214,-1.075824463070603,-1.0469666496210266,-1.4699000000000524,-3.2143000000005486
IMZW7_1_WAT5,7,1,5,OH...pi(N9),OH...pi,H2...N9,3.2191963801267236,97.06050490844288,O-H2-N9,OH...pi(N9),ok,-5.7324,-3.1327000000001135,-2.398667102534091,-2.3755850971501786,-3.199899999999616,-6.025200000000041
IMZW7_1_WAT6,7,1,6,OH...pi(C1),OH...pi,H2...C1,2.526980653743317,152.78202213358557,O-H2-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-5.242,-3.7409999999999854,-3.427591789251892,-3.363016764051281,-3.3966999999993277,-6.072299999999814
IMZW7_1_WAT7,7,1,7,CH...O(C3),CH...O,H7...O,2.867199583066899,126.16216407440145,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-3.3021000000000003,-2.066400000001522,-1.5607023056363687,-1.5324665272783022,-2.010599999999613,-3.703700000000026
IMZW8_1_WAT1,8,1,1,CH...O(C3),CH...O,H7...O,3.1270128107978707,111.70501671216958,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-2.289,-0.7319000000006781,-0.45351214543916285,-0.4082415750599466,-0.7803999999996449,-2.80199999999968
IMZW8_1_WAT2,8,1,2,CH...O(C3),CH...O,H7...O,3.00695569122942,158.5508550839731,C3-H7-O,CH...O(C3),ok,-2.5382000000000002,-0.4286000000010972,0.34056807690649293,0.3565856684872415,0.4375,-3.2502999999996973
IMZW8_1_WAT3,8,1,3,CH...O(C3),CH...O,H7...O,2.793464771822441,111.25960562789872,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-3.0993,-1.359200000000783,-1.0294744095008355,-0.9820416831062175,-1.8279999999995198,-3.1873999999997977
