contact_class,N,ref_mean_std,run0|BSSE=no|diff_mean_std,run0|BSSE=no|RMSE,run8|BSSE=no|diff_mean_std,run8|BSSE=no|RMSE,run102|BSSE=no|diff_mean_std,run102|BSSE=no|RMSE,run110|BSSE=no|diff_mean_std,run110|BSSE=no|RMSE,run110.mmsolvent|BSSE=no|diff_mean_std,run110.mmsolvent|BSSE=no|RMSE,run0|BSSE=no|diff_mean,run0|BSSE=no|diff_std,run8|BSSE=no|diff_mean,run8|BSSE=no|diff_std,run102|BSSE=no|diff_mean,run102|BSSE=no|diff_std,run110|BSSE=no|diff_mean,run110|BSSE=no|diff_std,run110.mmsolvent|BSSE=no|diff_mean,run110.mmsolvent|BSSE=no|diff_std,ref_mean,ref_std
OH...N3,11,-6.50 ± 0.88,-0.20 ± 0.45,0.47472490934464,2.40 ± 0.57,2.458800976946148,-0.05 ± 0.01,0.05045465099109937,0.37 ± 0.30,0.4669239500577009,1.71 ± 0.61,1.8008915576239861,-0.20469096382706942,0.4492347757774371,2.397399945264128,0.5727070117841905,-0.04963348850618455,0.009508285222588777,0.370690854355251,0.2977698644899218,1.7059908543548195,0.6050505498691555,-6.5032908543547485,0.8814521506342224
NH...O,8,-4.22 ± 0.64,-0.41 ± 0.78,0.8360537764650334,1.61 ± 0.89,1.8126636070738888,-0.06 ± 0.01,0.060018322674647524,-0.32 ± 0.20,0.3761143930140153,0.79 ± 0.52,0.9250508086664585,-0.41019587759411646,0.7788088040783725,1.611266622406447,0.8877382007448832,-0.05972464593287441,0.006339511010516,-0.3246708775939169,0.20298024639906495,0.7852416224059198,0.5227559857478306,-4.215866622405883,0.6434634876356148
OH...pi(C1),4,-3.83 ± 0.10,-0.41 ± 0.12,0.42011652057719817,0.82 ± 0.07,0.8195545989029879,-0.06 ± 0.00,0.062249370260455746,0.36 ± 0.09,0.36990608430025945,-0.30 ± 0.08,0.3060500053109053,-0.4076405111935686,0.11734339632456221,0.8173094888065862,0.0699994294239045,-0.06211459961923538,0.004727312409871882,0.3610094888063031,0.0931139817224914,-0.29726551119370015,0.08406205331422963,-3.830834488806431,0.1015040183794361
OH...pi(C2),3,-2.74 ± 1.12,-0.06 ± 0.52,0.4253884695391212,0.08 ± 0.73,0.5992970856325145,-0.06 ± 0.00,0.06179789278112643,0.49 ± 0.15,0.5050045895326545,0.02 ± 0.44,0.35660084421292093,-0.06103454769707003,0.5156017853017723,0.08483211897024982,0.7265953224856077,-0.061682948018036164,0.004614131986383723,0.48943211896948924,0.15240982433924963,0.02026545230304085,0.43603923023563096,-2.743532118969597,1.116227890358303
OH...pi(C3),5,-1.75 ± 1.32,-0.52 ± 0.68,0.7996099221850904,-0.05 ± 0.72,0.6482438445402772,-0.04 ± 0.02,0.04253127756674429,-0.15 ± 0.30,0.307388516005365,-0.36 ± 0.48,0.5593842295856634,-0.5238615925019979,0.6754119664676116,-0.04860159250165452,0.7227187966203229,-0.04016015190863982,0.015655341346263417,-0.14512159250116383,0.30295920344558497,-0.3582415925018722,0.48033019594710663,-1.751498407498002,1.3217692350677652
CH...O(C3),22,-1.58 ± 0.79,-0.13 ± 0.50,0.5069343546248085,0.39 ± 0.45,0.5891314690261019,-0.03 ± 0.01,0.03235562179275108,-0.14 ± 0.26,0.2917786941034777,0.14 ± 0.32,0.33915955567639755,-0.12514840598245439,0.5028038981710597,0.38951977583565167,0.4523854816759878,-0.030939628868840042,0.009689866565467206,-0.13776204234578804,0.26326171773060636,0.14178795765399793,0.3153500204957621,-1.5755243212902728,0.7885843313960694
CH...O(C1),1,-1.57,0.11,0.10818259200514291,0.85,0.847082592004881,-0.02,0.01781802356708795,-0.04,0.04211740799473773,0.42,0.42308259200490284,0.10818259200514291,,0.847082592004881,,-0.01781802356708795,,-0.04211740799473773,,0.42308259200490284,,-1.571582592005143,
noHbond-close(H-N3),2,-1.28 ± 0.09,0.10 ± 0.24,0.19598793554672903,0.80 ± 0.09,0.8033505847763486,-0.02 ± 0.00,0.018194875752717325,-0.02 ± 0.00,0.022068375296964947,0.36 ± 0.15,0.37685272824520827,0.10161460715844284,0.2370052425238908,0.8006646071589785,0.09282616983868153,-0.018194504489656538,0.0001643778129124236,-0.021985392841997964,0.0027039562979890887,0.362264607158977,0.1468491279225644,-1.281964607158443,0.09286007089963404
OH...pi(N9),5,-1.06 ± 1.67,0.17 ± 0.99,0.899204964177126,-0.03 ± 0.39,0.3544240591461616,-0.02 ± 0.00,0.024305234812253634,0.01 ± 0.36,0.3228023248137558,0.07 ± 0.52,0.4703922852192694,0.16988923852625337,0.987235543217623,-0.03409076147327141,0.39442083122569466,-0.024239960691193118,0.001990208835838095,0.006289238526369445,0.360835465246842,0.07434923852633801,0.5193037318424067,-1.0592892385262531,1.6686332989999484
noHbond-close(HH-H7),2,-0.98 ± 0.08,-0.01 ± 0.31,0.2228122120282984,0.77 ± 0.61,0.88120930965791,-0.02 ± 0.01,0.01865376911253154,-0.00 ± 0.07,0.05095026698658743,0.17 ± 0.27,0.2517028514361721,-0.006648190143169308,0.31496375472985355,0.7676518098569431,0.6119486028272798,-0.017280321379075758,0.009935149232849303,-0.0019481901426843251,0.07200186471435985,0.16650180985743646,0.26695120428759184,-0.9796018098568311,0.07857795777919101
far,2,-0.23 ± 0.34,-0.13 ± 0.19,0.18418229005600853,0.11 ± 0.06,0.1150429857317982,-0.01 ± 0.01,0.010651182704326174,-0.07 ± 0.08,0.09480402767004988,-0.07 ± 0.08,0.08763277461785807,-0.1276318511494201,0.18779364495343245,0.1076181488497241,0.05750169744008181,-0.009440780253498815,0.0069741467157042065,-0.07453185114991356,0.08285899862574628,-0.06823185114944863,0.07776782980055179,-0.23056814885057975,0.3395665924554944
Overall,65,-2.83 ± 2.15,-0.18 ± 0.56,0.5879396953683538,0.85 ± 1.00,1.3038731898135578,-0.04 ± 0.02,0.04309364324787881,0.01 ± 0.35,0.3449555441280186,0.41 ± 0.77,0.8689858669492498,-0.1819555121303392,0.5634262236071986,0.8483106417159993,0.9978847375768793,-0.03950145257672725,0.01735895240293952,0.00659371863915182,0.3475765488854068,0.4148244878697509,0.7695241049604741,-2.832129103254276,2.147586557897647
