structure,n_imzw,variant,n_wat,monomer_index,monomer_species,contact_class,contact_type,contact_detail,contact_distance_A,contact_angle_deg,contact_angle_atoms,contact_matched,contact_status,run0,run8,run102,run110,run110.mmsolvent
IMZW1_1_WAT1,1,1,1,0,ImH,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,0.17349999999999977,-0.7385999999996784,0.03103181437472813,-0.38839999999981956,-0.38839999999981956
IMZW1_1_WAT1,1,1,1,1,Wat,OH...N3,OH...N3,H1...N3,1.8532007123293472,177.80268310828183,O-H1-N3,OH...N3;OH...pi(C3),ok,-1.0614999999999997,0.4456000000000131,0.27058084274904104,0.6004000000002634,-1.0614999999999997
IMZW2_1_WAT1,2,1,1,0,ImH,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,0.20699999999999985,-0.9083000000000538,0.024955602479167283,-0.5189000000000306,-0.5189000000000306
IMZW2_1_WAT1,2,1,1,1,Wat,OH...pi(C1),OH...pi,H1...C1,2.570446894668318,140.42154042529134,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,0.6784999999999997,0.22460000000000946,0.09520426715607755,0.3751999999999498,0.6784999999999997
IMZW2_1_WAT2,2,1,2,0,ImH,OH...N3,OH...N3,H1...N3,1.9089959206844838,162.07196411118053,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,0.20699999999999985,-0.9083000000000538,0.024955601227702573,-0.5189000000000306,-0.5189000000000306
IMZW2_1_WAT2,2,1,2,1,Wat,OH...N3,OH...N3,H1...N3,1.9089959206844838,162.07196411118053,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-0.7404999999999999,0.27480000000014115,0.1582123440966825,0.39900000000034197,-0.7404999999999999
IMZW3_1_WAT1,3,1,1,0,ImH,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,0.17269999999999985,-0.8073999999996886,0.055098958808230236,-0.44949999999971624,-0.44949999999971624
IMZW3_1_WAT1,3,1,1,1,Wat,OH...N3,OH...N3,H1...N3,1.844911028539046,168.3329671580441,O-H1-N3,OH...N3;OH...pi(C1);OH...pi(C3);OH...pi(N9),ok,-1.641,0.4461999999998625,0.2842022649492719,0.5868000000000393,-1.641
IMZW3_1_WAT2,3,1,2,0,ImH,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396635,C1-H4-O,CH...O(C1),ok,0.17269999999999985,-0.8073999999996886,0.05509895755676553,-0.44949999999971624,-0.44949999999971624
IMZW3_1_WAT2,3,1,2,1,Wat,CH...O(C1),CH...O,H4...O,3.1678019150945977,106.19230141396635,C1-H4-O,CH...O(C1),ok,-0.8506999999999998,0.3251000000000204,0.1833359647571342,0.4614000000001397,-0.8506999999999998
IMZW3_1_WAT3,3,1,3,0,ImH,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,0.17269999999999985,-0.8073999999996886,0.055098958808230236,-0.44949999999971624,-0.44949999999971624
IMZW3_1_WAT3,3,1,3,1,Wat,OH...pi(C3),OH...pi,H1...C3,2.6052356015506546,153.68247453964423,O-H1-C3,OH...pi(C3);OH...pi(N9),ok,0.7751000000000001,0.27120000000013533,0.11700757893413538,0.4329999999999927,0.7751000000000001
IMZW4_1_WAT1,4,1,1,0,ImH,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,0.4773999999999998,-0.7942999999995664,0.1397176418977324,-0.3368000000000393,-0.3368000000000393
IMZW4_1_WAT1,4,1,1,1,Wat,OH...pi(C2),OH...pi,H2...C2,2.6285234198730283,128.89416985150223,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(N9),ok,-0.8479999999999999,0.35590000000001965,0.17604314879281446,0.5162000000000262,-0.8479999999999999
IMZW4_1_WAT2,4,1,2,0,ImH,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345305,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,0.4773999999999998,-0.7942999999995664,0.1397176431491971,-0.3368000000000393,-0.3368000000000393
IMZW4_1_WAT2,4,1,2,1,Wat,CH...O(C3),CH...O,H7...O,3.1348298931401364,95.68080538345305,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9),ok,-0.7762000000000002,0.30389999999988504,0.1664504497384769,0.43360000000029686,-0.7762000000000002
IMZW4_1_WAT3,4,1,3,0,ImH,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,0.4773999999999998,-0.7942999999995664,0.1397176400059834,-0.3368000000000393,-0.3368000000000393
IMZW4_1_WAT3,4,1,3,1,Wat,NH...O,NH...O,H6...O,2.040255321952132,143.06620610382845,N9-H6-O,NH...O;OH...pi(C3),ok,-2.3306000000000004,0.3238000000001193,0.22812636297749123,0.407799999999952,-2.3306000000000004
IMZW4_1_WAT4,4,1,4,0,ImH,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,0.4773999999999998,-0.7942999999995664,0.1397176418977324,-0.3368000000000393,-0.3368000000000393
IMZW4_1_WAT4,4,1,4,1,Wat,OH...pi(N9),OH...pi,H1...N9,3.070557307137745,100.85123309823848,O-H1-N9,OH...pi(N9);CH...O(C2),ok,-1.0227000000000004,0.2658999999998741,0.1345387221299461,0.3789999999999054,-1.0227000000000004
IMZW5_1_WAT1,5,1,1,0,ImH,NH...O,NH...O,H6...O,1.9336300430496007,149.8937763830087,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,0.6278000000000001,-0.7323999999998705,0.4035860829462763,-0.21529999999984284,-0.21529999999984284
IMZW5_1_WAT1,5,1,1,1,Wat,NH...O,NH...O,H6...O,1.9336300430496007,149.8937763830087,N9-H6-O,NH...O;OH...pi(C3);CH...O(C3),ok,-1.2037000000000004,0.35550000000012005,0.21058506290864898,0.4875999999999294,-1.2037000000000004
IMZW5_1_WAT2,5,1,2,0,ImH,OH...pi(C3),OH...pi,H1...C3,3.158527078055688,98.15414629662314,O-H1-C3,OH...pi(C3);CH...O(C3);OH...pi(N9);OH...pi(C3),ok,0.6278000000000001,-0.7323999999998705,0.40358608233509585,-0.21529999999984284,-0.21529999999984284
IMZW5_1_WAT2,5,1,2,1,Wat,OH...pi(C3),OH...pi,H1...C3,3.158527078055688,98.15414629662314,O-H1-C3,OH...pi(C3);CH...O(C3);OH...pi(N9);OH...pi(C3),ok,-1.1258,0.43899999999985084,0.23565799084462924,0.6433000000001812,-1.1258
IMZW5_1_WAT3,5,1,3,0,ImH,OH...pi(C2),OH...pi,H2...C2,2.6052989471632615,148.5409919885516,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,0.6278000000000001,-0.7323999999998705,0.4035860829462763,-0.21529999999984284,-0.21529999999984284
IMZW5_1_WAT3,5,1,3,1,Wat,OH...pi(C2),OH...pi,H2...C2,2.6052989471632615,148.5409919885516,O-H2-C2,OH...pi(C2);OH...pi(C1);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,0.1294000000000004,0.23289999999997235,0.08830118916375795,0.380500000000211,0.1294000000000004
IMZW5_1_WAT4,5,1,4,0,ImH,OH...N3,OH...N3,H1...N3,1.9091662216355076,155.29811159148,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,0.6278000000000001,-0.7323999999998705,0.403586084197741,-0.21529999999984284,-0.21529999999984284
IMZW5_1_WAT4,5,1,4,1,Wat,OH...N3,OH...N3,H1...N3,1.9091662216355076,155.29811159148,O-H1-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-2.4949000000000003,0.2885000000001128,0.20575744176312583,0.3582000000001244,-2.4949000000000003
IMZW5_1_WAT5,5,1,5,0,ImH,CH...O(C3),CH...O,H7...O,2.8326759956384,126.88201965247414,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.6278000000000001,-0.7323999999998705,0.40358608480892144,-0.21529999999984284,-0.21529999999984284
IMZW5_1_WAT5,5,1,5,1,Wat,CH...O(C3),CH...O,H7...O,2.8326759956384,126.88201965247414,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-0.4036999999999997,0.22220000000015716,0.10732496028504102,0.33539999999993597,-0.4036999999999997
IMZW6_1_WAT1,6,1,1,0,ImH,OH...N3,OH...N3,H2...N3,2.0053116916549407,149.77156002021704,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,0.6322999999999999,-0.8159999999998035,0.3680456713482272,-0.24650000000019645,-0.24650000000019645
IMZW6_1_WAT1,6,1,1,1,Wat,OH...N3,OH...N3,H2...N3,2.0053116916549407,149.77156002021704,O-H2-N3,OH...N3;OH...pi(C3);OH...pi(N9),ok,-2.0122,0.16980000000012296,0.11189846833440242,0.21230000000014115,-2.0122
IMZW6_1_WAT2,6,1,2,0,ImH,OH...pi(C1),OH...pi,H1...C1,2.464257763499184,146.90926550696025,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,0.6322999999999999,-0.8159999999998035,0.3680456700967625,-0.24650000000019645,-0.24650000000019645
IMZW6_1_WAT2,6,1,2,1,Wat,OH...pi(C1),OH...pi,H1...C1,2.464257763499184,146.90926550696025,O-H1-C1,OH...pi(C1);OH...pi(C2);OH...pi(N9);OH...pi(C3);OH...pi(C3),ok,-0.15050000000000097,0.2763999999997395,0.11170702648814768,0.436500000000251,-0.15050000000000097
IMZW6_1_WAT3,6,1,3,0,ImH,CH...O(C3),CH...O,H7...O,2.664041864751566,137.05749266382014,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.6322999999999999,-0.8159999999998035,0.3680456725996919,-0.24650000000019645,-0.24650000000019645
IMZW6_1_WAT3,6,1,3,1,Wat,CH...O(C3),CH...O,H7...O,2.664041864751566,137.05749266382014,C3-H7-O,CH...O(C3);OH...pi(C3),ok,-0.9743000000000004,0.3087000000000444,0.18127786859258777,0.4369000000001506,-0.9743000000000004
IMZW6_1_WAT4,6,1,4,0,ImH,NH...O,NH...O,H6...O,1.9078685189776574,158.1872518348434,N9-H6-O,NH...O;OH...pi(C3),ok,0.6322999999999999,-0.8159999999998035,0.3680456707079429,-0.24650000000019645,-0.24650000000019645
IMZW6_1_WAT4,6,1,4,1,Wat,NH...O,NH...O,H6...O,1.9078685189776574,158.1872518348434,N9-H6-O,NH...O;OH...pi(C3),ok,-0.8250000000000002,0.41859999999996944,0.20356213062041206,0.6204000000002452,-0.8250000000000002
IMZW6_1_WAT5,6,1,5,0,ImH,CH...O(C3),CH...O,H7...O,2.940458845056669,111.92094096274079,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,0.6322999999999999,-0.8159999999998035,0.36804567198851146,-0.24650000000019645,-0.24650000000019645
IMZW6_1_WAT5,6,1,5,1,Wat,CH...O(C3),CH...O,H7...O,2.940458845056669,111.92094096274079,C3-H7-O,CH...O(C3);OH...pi(C3);OH...pi(N9);OH...pi(N9),ok,-1.5358999999999998,0.316899999999805,0.1487105385385803,0.4697000000001026,-1.5358999999999998
IMZW6_1_WAT6,6,1,6,0,ImH,OH...pi(N9),OH...pi,H2...N9,3.28763694681925,95.46009140195285,O-H2-N9,OH...pi(N9),ok,0.6322999999999999,-0.8159999999998035,0.3680456700967625,-0.24650000000019645,-0.24650000000019645
IMZW6_1_WAT6,6,1,6,1,Wat,OH...pi(N9),OH...pi,H2...N9,3.28763694681925,95.46009140195285,O-H2-N9,OH...pi(N9),ok,-2.4276,0.36859999999978754,0.24968336223537335,0.46630000000004657,-2.4276
IMZW7_1_WAT1,7,1,1,0,ImH,NH...O,NH...O,H6...O,1.8854405637585079,170.10021349781798,N9-H6-O,NH...O,ok,0.4411999999999998,-0.9117999999998574,0.3085924468759913,-0.4131999999999607,-0.4131999999999607
IMZW7_1_WAT1,7,1,1,1,Wat,NH...O,NH...O,H6...O,1.8854405637585079,170.10021349781798,N9-H6-O,NH...O,ok,-1.7170000000000005,0.3204000000000633,0.16394294195924886,0.46820000000025175,-1.7170000000000005
IMZW7_1_WAT2,7,1,2,0,ImH,CH...O(C3),CH...O,H7...O,3.151879932663838,92.29413379670524,C3-H7-O,CH...O(C3);OH...pi(C3),ok,0.4411999999999998,-0.9117999999998574,0.3085924493789207,-0.4131999999999607,-0.4131999999999607
