variant,structure,contact_class,ref,band_bind,energy_h0_bind,scc_bind,third_bind,monopole_dipole_bind,dipole_dipole_bind,monopole_quadrupole_bind,dipole_quadrupole_bind,quadrupole_quadrupole_bind,multipole_bind,electronic_total_bind,repulsive_bind,dispersion_bind,total_bind,diff_vs_ref
baseline,IMZW1_1_WAT1,OH...N3,-7.090544614940882,-6.844171348231629,3.992096674699747,1.45585078251125,-0.998819882063297,-0.28958489186811437,-0.1963443886341312,-0.6331051642961631,-0.1875054156843735,-1.234491293452123,-2.541031153934904,1.9080964212118088,-7.896299038629889,-0.7352977176871295,-6.723500209602451,0.3670444053384303
baseline,IMZW2_1_WAT1,OH...pi(C1),-3.7149982995179016,-122.27369447438674,5.992487565862242,-0.008387919139801608,-0.1860389887944353,0.09524125444108547,0.13985109120507339,-0.0940543202708953,-0.16438508011630817,-0.43102546457098956,-0.4543725193120339,5.343688201365814,-7.947601828693289,-1.0768813076253776,-3.680794872201175,0.03420342731672665
baseline,IMZW2_1_WAT2,OH...N3,-5.859500398568343,-5.538533469866072,4.6997984082450985,0.919648078486858,-0.8340732309880337,-0.6184688823193254,-0.12916027504640745,-0.493374617661057,-0.11812282265426974,-0.7747828728292881,-2.1339094077594,2.6514638479850854,-8.228604085231812,-0.8194586608389987,-6.39659883533433,-0.5370984367659863
baseline,IMZW3_1_WAT1,OH...N3,-6.5510450037545525,2.334318928269252,5.090496223454795,1.4883330574247577,-1.0052991683867885,-0.4583866346666681,-0.20476663254216404,-0.6561716595513537,-0.1120766433697769,-1.137031102759803,-2.5684327356407124,3.0050973768512717,-8.691941079388398,-0.7788197040268819,-6.465663281061648,0.08538172269290456
baseline,IMZW3_1_WAT2,CH...O(C1),-1.3331476696766913,132.66516564707777,7.136959487712314,0.7553447628550232,-0.11242353060703916,-0.19214158118064661,0.026786308666489535,-0.4595607048926402,-0.10812402394360088,-0.09153643850621873,-0.8245763771056681,6.955304342854772,-8.075989263071428,-0.48118436761411754,-1.60186916232884,-0.2687214926521486
baseline,IMZW3_1_WAT3,OH...pi(C3),-3.144241372210672,-81.20123391178217,5.726358162372048,0.12712683059570376,-0.2552877340537218,-0.1437951765024025,0.08566514611214594,0.25239391136313183,-0.04528855101113457,-0.3795244442647352,-0.23054911430299518,5.367648144610728,-7.624913176528567,-1.0065239413782643,-3.263788785042546,-0.11954741283187387
baseline,IMZW4_1_WAT1,OH...pi(C2),-1.6638158365094569,-151.64947168836318,10.250385582097636,0.1796090247156036,0.07287474600421202,0.697429277953949,0.18900616734254325,-0.6026576516032525,-0.22872914857536955,-0.07487637572458018,-0.019827667855761184,10.483041684961208,-10.736132320093638,-1.0895925160376843,-1.3426830256676874,0.3211328108417695
baseline,IMZW4_1_WAT2,CH...O(C3),-1.8168130258854944,12.6878820653789,9.098043310921748,0.0031624594964362804,-0.02706856242792332,0.11480505456300322,0.09431228941568243,-0.6439691730696702,0.10329602880110698,-0.44448591929532766,-0.776041656834258,8.29809548840459,-9.944975654304788,-0.6321868669318187,-2.2790669073294563,-0.46225388144396184
baseline,IMZW4_1_WAT3,NH...O,-4.839185817661928,-8.314883939624533,8.956948809693658,-1.4169145726570045,0.1412278469911679,-0.8884113471284218,0.01845499088124867,-0.7263349371181391,0.01651799463671039,-0.686787721288998,-2.2665610200176007,5.414701001258729,-10.066064776993901,-0.6793149619661694,-5.330678612198118,-0.49149279453618977
baseline,IMZW4_1_WAT4,OH...pi(N9),0.6490371114923619,2.4747648357047893,9.590002957469867,0.4314854917664256,0.14039627143613945,0.027995895928693226,0.04599707195829983,0.62002466655837,0.12732311555919343,-0.05903740908975207,0.7623032781638553,10.924187998835961,-9.7568740418691,-0.6023308446691603,0.564983175048777,-0.08405393644358483
baseline,IMZW5_1_WAT1,NH...O,-3.875050291826483,-59.03382751667746,11.543963167628098,-1.1611784203331195,0.53241179378968,-0.5468020293017376,0.08484731301459957,-1.6086990381959618,-0.2034594048057958,-0.8031754174965372,-3.0772885767854317,7.837907964298601,-11.795690726679934,-0.7347310138811034,-4.692513650760163,-0.8174633589336802
baseline,IMZW5_1_WAT2,OH...pi(C3),-1.7952964444993995,-109.64886769850986,12.651467941602593,0.11176514766685025,0.016649708875315975,0.10803033677912315,0.08977589792578536,-0.7593811547959871,-0.10822888077671693,-0.4477160243130676,-1.117519825180863,11.662362972963734,-13.490852914786194,-0.7678374724684612,-2.5963272887883173,-0.8010308442889178
baseline,IMZW5_1_WAT3,OH...pi(C2),-3.532646345585817,-122.6854730311196,9.682398456446434,-0.06207988877475011,-0.18074312258808004,0.11225830736251806,0.18054112728837937,-0.12450315073370109,-0.20263617512677254,-0.45810187086733994,-0.49244176207691454,8.94713374575638,-11.334039662227298,-1.1169088192059673,-3.503814672924301,0.028831672661516095
baseline,IMZW5_1_WAT4,OH...N3,-5.49856867158087,20.95958651333477,8.538222844568894,0.9950474206071228,-0.9006138336101053,-0.806015713628987,-0.10787069836892123,-0.6394387429197763,0.017086016212632383,-0.7431536342948205,-2.279392835750822,6.353263595815249,-11.415400093347362,-0.8251218083405233,-5.887258180370764,-0.38868950878989406
baseline,IMZW5_1_WAT5,CH...O(C3),-2.06423366110539,46.61645989099489,9.635806882011968,0.2431894141447291,-0.11304093717857001,-0.16212234370378423,0.10201007363590976,-0.5001874880209598,-0.13193769472955846,-0.20362638507684594,-0.895863837895238,8.870091521082431,-10.840136995343785,-0.4502724351594531,-2.420317721167092,-0.3560840600617019
baseline,IMZW6_1_WAT1,OH...N3,-5.310838453762699,29.758861080230623,8.355006393389054,0.7493204209002253,-0.7683405468138175,-0.8972724084116667,-0.061512871213983036,-0.5729494078217354,0.04668250055681853,-0.5960285787683032,-2.081080828409817,6.254905439065639,-10.977737084563513,-0.8278046623459326,-5.550636182341222,-0.2397977285785231
