variant,system,band,energy_h0,scc,third,monopole_dipole,dipole_dipole,monopole_quadrupole,dipole_quadrupole,quadrupole_quadrupole,multipole,electronic_total,repulsive,dispersion,total
baseline,ImH_monomer,-11.6761333521,-11.7528659498,0.0224903777,-0.0010431815,-0.0056196779,0.0077201543,0.0011646655,-0.0018472594,0.0108860515,0.012303934,-11.7191148195,0.3376637658,-0.0039147916,-11.3853658454
baseline,Wat_monomer,-3.7497584656,-4.1009482312,0.021896708,-0.0034939723,0.0020584531,0.0002398798,0.0042373431,0.0,0.0086714009,0.0152070769,-4.0673384187,0.0780989091,-0.0002210639,-3.9894605736
baseline,IMZW1_1_WAT1_full,-15.436798699,-15.84745237,0.0467071316,-0.0061288746,-0.0040227077,0.0076471394,0.0043930913,-0.0021460683,0.0175901653,0.02346162,-15.783412493,0.4031791214,-0.005307627,-15.3855409986
baseline,IMZW2_1_WAT1_full,-15.620747353,-15.8442645442,0.0443737187,-0.0048336258,-0.0034094482,0.008182901,0.0052521235,-0.0021092237,0.0188705696,0.0267869222,-15.777937529,0.4030973652,-0.0058519751,-15.380692139
baseline,IMZW2_1_WAT2_full,-15.4347180326,-15.8463245755,0.0458526382,-0.0058663341,-0.0045468177,0.0077542041,0.0046157661,-0.0020355001,0.0183227573,0.0241104098,-15.7822278616,0.4026495596,-0.005441746,-15.3850200481
baseline,IMZW3_1_WAT1_full,-15.4221718437,-15.8457019589,0.0467588954,-0.0061392,-0.0042917104,0.0076337177,0.0043563325,-0.0020258649,0.017745478,0.0234179528,-15.7816643107,0.4019111851,-0.0053769837,-15.3851301093
baseline,IMZW3_1_WAT2_full,-15.214476419,-15.8424407121,0.0455908042,-0.0047163121,-0.0038674219,0.0080027208,0.004669652,-0.002019566,0.0194115798,0.0261969648,-15.7753692552,0.4028927668,-0.0049026716,-15.37737916
baseline,IMZW3_1_WAT3_full,-15.5552942208,-15.8446886484,0.0445896752,-0.0049439807,-0.003790377,0.0080965502,0.0058042239,-0.0019194313,0.0189526417,0.0271436075,-15.7778993464,0.4036116023,-0.0057398535,-15.3800275975
baseline,IMZW4_1_WAT1_full,-15.6675606338,-15.8374791518,0.0446733109,-0.0044210205,-0.0024498005,0.0082612346,0.0044416125,-0.0022117625,0.0194381293,0.0274794135,-15.7697474479,0.398653559,-0.0058722317,-15.3769661206
baseline,IMZW4_1_WAT2_full,-15.4056723906,-15.8393155261,0.0443921254,-0.0045802903,-0.0033782713,0.0081103303,0.0043757784,-0.0016826467,0.018849119,0.0262743098,-15.7732293813,0.3999143474,-0.0051433094,-15.3784583433
baseline,IMZW4_1_WAT3_full,-15.4391424287,-15.8395403745,0.0421290886,-0.0043120929,-0.0049769984,0.007989444,0.0042445202,-0.0018209363,0.0184629865,0.023899016,-15.7778243629,0.3997213796,-0.0052184128,-15.3833213961
baseline,IMZW4_1_WAT4_full,-15.4219480289,-15.8385315385,0.0450747016,-0.0043134181,-0.0035166105,0.0080333351,0.0063900808,-0.0016443571,0.0194633703,0.0287258185,-15.7690444365,0.4002141064,-0.0050957308,-15.373926061
baseline,IMZW5_1_WAT1_full,-15.5199682101,-15.8354177047,0.0425366301,-0.0036887016,-0.0044326093,0.0080952469,0.0028383835,-0.0021714926,0.0182775109,0.0226070394,-15.7739627368,0.3969650452,-0.0053067239,-15.3823044155
baseline,IMZW5_1_WAT2_full,-15.6006284109,-15.8336527835,0.0445651948,-0.0045106208,-0.0033890675,0.0081031011,0.0041918577,-0.0020197331,0.0188439715,0.0257301297,-15.7678680798,0.3942636323,-0.0053594824,-15.3789639299
baseline,IMZW5_1_WAT3_full,-15.6214035639,-15.8383842969,0.0442881551,-0.0048251863,-0.0033823298,0.0082477447,0.0052036002,-0.0021701807,0.0188274206,0.026726255,-15.772195073,0.397700733,-0.005915763,-15.3804101031
baseline,IMZW5_1_WAT4_full,-15.3924905905,-15.8402076568,0.0459727947,-0.0059723733,-0.0048456926,0.0077881312,0.0043829981,-0.0018200311,0.0183731617,0.0238785672,-15.7763286682,0.3975710769,-0.0054507708,-15.3842083621
baseline,IMZW5_1_WAT5_full,-15.3516037602,-15.8384585453,0.0447746327,-0.004717296,-0.0038195832,0.0081225975,0.0046049091,-0.0020575155,0.0192329531,0.026083361,-15.7723178476,0.398487817,-0.0048534103,-15.3786834408
baseline,IMZW6_1_WAT1_full,-15.3784680539,-15.8404996308,0.0455812038,-0.0057615824,-0.0049911194,0.0078620071,0.0044889556,-0.0017728661,0.0186076204,0.0241945975,-15.7764854119,0.3982685373,-0.0054550462,-15.3836719208
baseline,IMZW6_1_WAT2_full,-15.6481073589,-15.8368454161,0.0445041888,-0.0048525404,-0.0032244111,0.008281697,0.0052127439,-0.0022197973,0.0188510611,0.0269012936,-15.7702924742,0.3961191092,-0.0059412869,-15.3801146519
