structure,contact_class,base_water_q,slope_water_q,delta_water_q,base_imh_q,slope_imh_q,delta_total_bind,delta_multipole,delta_monopole_dipole,delta_scc
IMZW1_1_WAT1,OH...N3,-0.04127757999999998,-0.04206656999999997,-0.0007889899999999894,0.04127761000000002,0.04206657000000002,-0.6299162239000173,-0.6347428385215719,-0.2755657654590178,0.274535520404503
IMZW2_1_WAT1,OH...pi(C1),-0.003770519999999944,-0.0037897700000000256,-1.9250000000081702e-05,0.0037704999999999683,0.003789769999999963,-0.093835633219149,-0.1315520274067981,-0.100669650648363,0.0815194420208029
IMZW2_1_WAT2,OH...N3,-0.02676871000000003,-0.027253449999999957,-0.000484739999999928,0.026768709999999994,0.02725346,-0.49981531215297803,-0.500653037299768,-0.2837934814300914,0.2115517669833188
IMZW3_1_WAT1,OH...N3,-0.03859699000000005,-0.039360059999999975,-0.0007630699999999213,0.038596990000000025,0.039360069999999955,-0.6398907379944712,-0.6339617774792052,-0.2875481843681476,0.25578647858371095
IMZW3_1_WAT2,CH...O(C1),-2.719000000001026e-05,-2.7869999999985406e-05,-6.799999999751449e-07,2.7180000000022464e-05,2.7869999999988876e-05,-0.2513383776768785,-0.22463163721163226,-0.1726985138815383,0.03561354718908449
IMZW3_1_WAT3,OH...pi(C3),-0.0036386899999999445,-0.0036622500000000335,-2.3560000000089065e-05,0.003638689999999986,0.003662240000000025,-0.1280578664026102,-0.1365867241700486,-0.08250205910623559,0.07610190172742701
IMZW4_1_WAT1,OH...pi(C2),-0.0030101900000000237,-0.003026839999999975,-1.6649999999951426e-05,0.003010190000000003,0.003026830000000022,-0.07000257239035701,-0.0793077848794658,-0.08462486090604382,0.0492178270848779
IMZW4_1_WAT2,CH...O(C3),-1.815000000005007e-05,-2.0650000000010937e-05,-2.499999999960867e-06,1.8150000000008437e-05,2.064999999999012e-05,-0.15263659673870622,-0.17484058022220106,-0.16027357529129932,0.0842526850369796
IMZW4_1_WAT3,NH...O,0.009995350000000014,0.009903769999999978,-9.158000000003552e-05,-0.009995370000000024,-0.009903780000000001,0.1214195064271637,0.13897006790348998,0.03837603214675034,-0.09771740682573715
IMZW4_1_WAT4,OH...pi(N9),1.2330000000060348e-05,4.730000000008339e-06,-7.60000000005201e-06,-1.2329999999970143e-05,-4.710000000011927e-06,-0.15260578602432456,-0.14780697007197952,-0.1092785786249294,0.05035713328598462
IMZW5_1_WAT1,NH...O,0.019391649999999983,0.019219570000000075,-0.00017207999999990786,-0.019391650000000003,-0.01921958,0.13904041171544534,0.13388962569958007,-0.018197837498777125,-0.07496058749599355
IMZW5_1_WAT2,OH...pi(C3),-0.00010084999999993016,-0.00010729999999997686,-6.450000000046696e-06,0.00010083999999997706,0.00010727999999998045,-0.06385875263276697,-0.08791150452739638,-0.1117807726527561,0.04231327759081621
IMZW5_1_WAT3,OH...pi(C2),-0.003810170000000057,-0.0038300999999999474,-1.9929999999890313e-05,0.003810189999999984,0.0038301000000000238,-0.08189977551413952,-0.12423965950554283,-0.11128704819856321,0.0917162199705411
IMZW5_1_WAT4,OH...N3,-0.025634869999999976,-0.026091240000000016,-0.00045637000000003924,0.02563487,0.02609123000000002,-0.5310762653753702,-0.5246114117704446,-0.324028886899438,0.21895173520715383
IMZW5_1_WAT5,CH...O(C3),0.0001330999999999971,0.0001305400000000123,-2.5599999999847967e-06,-0.0001330900000000232,-0.00013054999999998623,-0.17433480758638442,-0.19521280079955317,-0.1671899847144227,0.0929921349841552
