variant,component,mean_delta_kcal_mol,std_delta_kcal_mol,min_delta_kcal_mol,max_delta_kcal_mol
slope,multipole,-0.16005954532528507,0.22993847687378616,-0.7207607077090885,0.26658986994202083
slope,total,-0.1589350637943469,0.22710870159960075,-0.7192099435460246,0.24203567522576552
slope,diff_vs_ref,-0.1589350637943469,0.22710870159960075,-0.7192099435460246,0.24203567522576552
slope,electronic_total,-0.15893500587065226,0.22710870217211912,-0.7192099435463026,0.24203573797643863
slope,monopole_dipole,-0.12392784039388821,0.10346307102493148,-0.3751957584107536,0.05630347581315376
slope,energy_h0,-0.04564368468907657,0.09724294824406862,-0.2757936769006406,0.14801448745371815
slope,dipole_dipole,-0.02432896998126838,0.09533245310249588,-0.2735941306915119,0.18039240754302505
slope,dipole_quadrupole,-0.011626695373073715,0.05933332586287125,-0.1597240024939148,0.08420869662284494
slope,quadrupole_quadrupole,-0.005661251457512713,0.014007131568089158,-0.037075393259859646,0.026199901062978315
slope,dispersion,0.0,0.0,0.0,0.0
slope,repulsive,0.0,0.0,0.0,0.0
slope,third,0.001520032610809484,0.014955756498024459,-0.036710684753533895,0.043123894329406776
slope,monopole_quadrupole,0.005485290077792833,0.028672875208698705,-0.038098861212056745,0.07343699449297214
slope,scc,0.0452481905671657,0.11637429236750539,-0.21569245099886136,0.3282687174118992
slope,band,3.515543149369833,5.409521479042872,-2.2535644830471924,18.834184377016236
