contact_class,N,diff_mean,diff_std,RMSE
CH...O(C3),22,-0.4224783929159438,0.2427846486343179,0.48451324836191484
OH...pi(C3),5,-0.42155587083010737,0.2456958813488853,0.4753972287685053
far,2,-0.4720677537219522,0.02838025706293205,0.472494109592457
OH...N3,11,0.2306611706072591,0.41680517692370694,0.45949734265618486
OH...pi(N9),5,-0.38657896738684194,0.2656535073188119,0.453762853026232
noHbond-close(HH-H7),2,-0.3508737547382652,0.20165390099951805,0.378740728808363
NH...O,8,-0.2926124141577317,0.22763766902864704,0.3618888914223705
noHbond-close(H-N3),2,-0.31162838510801916,0.19779884182373925,0.3415764062672336
CH...O(C1),1,-0.2089234793295216,,0.2089234793295216
OH...pi(C2),3,0.040483178634774096,0.17767412727708895,0.15061302983083888
OH...pi(C1),4,0.04479884622046104,0.08359424732915807,0.08513480641066176
Overall,65,-0.2356345171922668,0.3577862907763492,0.42610474662978237
