contact_class,N,diff_mean,diff_std,RMSE
OH...pi(C2),3,0.6413240438924432,0.3110336816977166,0.689776169039528
CH...O(C3),22,-0.20050791499562653,0.31865184919564365,0.3703066510819429
OH...N3,11,-0.17652490099372214,0.30580996100957036,0.3408503763858361
OH...pi(C3),5,-0.0920739642515872,0.34649697566118176,0.323304404867733
OH...pi(N9),5,-0.09812946606039485,0.3439014262475197,0.32286830889599677
noHbond-close(HH-H7),2,-0.30529968691602416,0.1196378415005377,0.316803575406712
OH...pi(C1),4,0.2372415221348998,0.18434283749531602,0.28595498094412086
noHbond-close(H-N3),2,-0.13829517676876826,0.2499655354250174,0.2244258014749255
far,2,-0.21138867789522825,0.04815007691966791,0.21411302645093205
CH...O(C1),1,-0.20518308360731585,,0.20518308360731585
NH...O,8,0.13544140870417892,0.14086439307760215,0.18896244408414464
Overall,65,-0.07480993645094823,0.3411881355927973,0.3467202870881361
