eval,key,objective,RMSE,diff_mean,mean_error,diff_std,pearson_r,slope,slope_error,intercept,elapsed_s,D_H,D_C,D_N,D_O,Q_H,Q_C,Q_N,Q_O,error
1,4e624ece8e55,1.7904762853662377,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5816121101379395,1.0,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
2,7d5f27050b03,6.824127887673112,1.5343091896760106,-0.1557135638444949,0.1557135638444949,1.5382659088815607,0.9087435656745488,1.3397821875991862,0.3397821875991862,0.6024080567203693,0.5650150775909424,2.2651909638326577,1.7148672750387515,2.107738058260775,1.0435210005331088,1.5446467793934815,1.5743060903749795,1.0194438495813172,1.1803992446809364,
3,84701c402329,1.8180109678223282,0.948761148728924,-0.343230160782107,0.343230160782107,0.8913836708520704,0.9346999827071474,1.0595871795521927,0.059587179552192726,-0.21027931528256047,0.5691261291503906,1.9532841702788444,2.0484452632785333,0.27927421283636544,1.2132506408421098,0.3958954101970813,1.4057157426131184,1.3090650716136176,3.7552215415439427,
4,fc0d5618e8c5,10.015460667675276,1.659419153409164,-1.0696674012515852,1.0696674012515852,1.2785271832455327,0.9691945892991107,1.4527759898585209,0.45277598985852086,-0.059434140909762276,0.5661876201629639,1.001446795554812,1.3543419909935337,1.1507565452427448,1.3130487018446981,0.0029184934529971063,3.6971402572048655,2.002011303564488,3.949723237699794,
5,62cc848baf07,4.302370040208622,1.1242529277087046,0.056614220936891814,0.056614220936891814,1.1315646379032873,0.9325503005213304,1.2148203042236003,0.21482030422360032,0.5359210331007639,0.5730528831481934,1.2030012613703025,1.980880367152135,2.2584638235839085,0.34987644783863137,1.1965909864220885,2.9175268825335747,1.5603292432761076,2.2113483116498207,
6,9fd4fac0fc26,10.249098606674167,1.8867872516519388,-0.8695844106072711,0.8695844106072711,1.6874828266655333,0.926519962524257,1.4820404274918009,0.48204042749180087,0.20594362884060788,0.5756840705871582,0.3882714299674539,1.7970475039969251,1.6296455203793503,1.4887773263977149,3.91265466989665,2.952321298122721,4.009761212059406,0.6847279350905948,
7,91aa072ed793,6.2385897836300686,1.3588141773195073,-0.34514478003852,0.34514478003852,1.3244770088385496,0.9281016532903545,1.3041956762571094,0.3041956762571094,0.33357625793685836,0.569998025894165,0.8847086581146129,1.875765858531179,2.1691716447742726,0.16582767267965837,3.6899908929850302,1.0293012131852228,2.7269237474399968,3.3060628188593544,
8,e17585032a64,12.162309035733537,1.8910669958268476,-1.158339227150862,1.158339227150862,1.5064185597629658,0.9691815280898934,1.5622583143853508,0.5622583143853508,0.09617086794781492,0.5735993385314941,2.4922688769124655,0.9037546743691772,1.7087810234240663,0.9185102070253028,3.0089093791748542,3.5828851001638773,1.0935895179888349,4.777955905234325,
9,acc5a657d62f,20.71174883693995,3.246932883674139,-2.037760319415024,2.037760319415024,2.5475383095151645,0.945855017228542,1.9520203069976563,0.9520203069976563,0.0863862788849179,0.5660355091094971,1.5805129163936127,0.09453524649811396,1.7805538657332456,2.2085655187769593,2.894489172802634,4.603025050967229,4.791818044923234,0.7365082087495702,
10,ac5c7563079f,8.397843057238605,1.509322143279544,-0.5854065709366514,0.5854065709366514,1.4019958492737885,0.9424535205107141,1.4032386215421264,0.4032386215421264,0.3142989710103369,0.5656557083129883,2.231988691490508,1.5936131387331909,2.026296708316237,0.8474393680791668,1.4267721781576292,3.400357078982622,3.3116644698392848,1.5970291419942584,
11,a1073033ff5b,2.712166337152189,0.5170980183694261,-0.178274438996255,0.178274438996255,0.48917273957449486,0.9789456035068724,0.8691629082523743,0.1308370917476257,-0.4701980054626393,0.5596179962158203,0.8017966819618878,0.6759804153106741,0.1699114628580476,0.12566679046426188,2.2173746813188764,3.1530488895464748,0.9219902083420963,4.448832450626738,
12,6ed63b894482,12.716498115628077,2.0456975098750987,-1.3781272046530246,1.3781272046530246,1.5235999779038298,0.9698207117127182,1.5729781209817184,0.5729781209817184,-0.09969908958277934,0.5676851272583008,0.6829662151623419,0.5785253661112075,0.8359630242155662,1.9074378030826256,3.9270230570956337,0.7622709368751732,1.50946899437204,4.1504561786341725,
13,ac02648f689a,6.564788092431081,1.3837228430313027,-0.8844223084824342,0.8844223084824342,1.0724650025469955,0.9532619319536365,1.2765013453071365,0.27650134530713655,-0.26749282941308056,0.5652322769165039,2.334389076126421,1.35367523121371,1.0390714464404938,1.1572403049366666,0.2177683273510589,4.130607398230865,4.91155494045025,0.8882076521987914,
14,89951a113095,13.294242300402189,2.084540573125254,-1.1853475264654527,1.1853475264654527,1.7280631397743471,0.9575957328226445,1.6209993925235326,0.6209993925235326,0.2002255936449347,0.5660293102264404,0.6039308592336434,1.435171571398722,1.5746645774149655,1.4091202978324482,2.629984025937389,3.2905096343305336,1.1999389171600459,4.314681670724339,
15,67aa45a1b5ce,11.842078591590578,1.848338202716262,-0.9875805806110599,0.9875805806110599,1.5745411834053027,0.9600867541270117,1.558188540992662,0.5581885409926619,0.25784904084184573,0.5686898231506348,2.18734989444068,0.8276149114614648,2.2049135087510567,0.5572367748781643,0.29166629408485223,4.422375801325093,2.443397884976382,3.8415241628200456,
16,ffbfb866d31a,5.635423524401902,1.1540211802460387,-0.8207079235758673,0.8207079235758673,0.817611042356749,0.9723507593100221,1.2290251862037174,0.22902518620371737,-0.3097071953100637,0.5680453777313232,1.2736968136773026,0.3739626677379543,0.7163470545265984,1.2986298447395987,3.585827303497173,0.9234487638361577,2.929016013711075,2.1091396507333697,
17,5d43ac603795,12.918817460441964,2.1723033183600746,-1.3205315391268835,1.3205315391268835,1.7382704248467848,0.9482289708153985,1.5894806778914792,0.5894806778914792,-0.005282938332267115,0.5705187320709229,1.64293275899443,1.0725457081121434,1.9456355303910566,0.7178610612548325,0.08524065522893132,2.0647245219066024,4.8747806177260955,2.7010883821685034,
18,e83ee1dd6a93,18.575037467892688,2.933476267840541,-2.1107014848835433,2.1107014848835433,2.0530634375097367,0.971920859046005,1.827271184075971,0.827271184075971,-0.26489498410806706,0.5661294460296631,0.21013251455163506,0.319980391379186,1.0949518101932243,1.8721971932999675,2.09348554991333,1.8483716318004122,3.8489015506223025,4.213160430429666,
19,118b02130a38,12.922594760473832,2.1392537832602687,-0.8102403125378974,0.8102403125378974,1.9952859680443178,0.925870594538671,1.6254790674323993,0.6254790674323993,0.5853278530029455,0.5668468475341797,1.4147269309337136,1.2580587207997236,2.035274631826403,1.6473175093779426,1.3396668913494973,2.4996766826107586,0.8681560594867277,1.9982743558523317,
20,9bd4f7699748,2.4750749387775444,1.1071624005115768,-0.538951446023898,0.538951446023898,0.9746561476665994,0.9233259648214789,1.0607967386835975,0.06079673868359747,-0.40330183360149213,0.5703482627868652,0.7645983004011181,2.4904165346550706,0.6425638559633526,0.507743663029786,2.346585333936871,1.9876490009077834,3.9237338667832806,4.047319769559702,
21,daa5da69ae21,11.439668206251566,2.0315242540028575,-0.9907162744153856,0.9907162744153856,1.7873784214933057,0.9282437695206982,1.5365671180916207,0.5365671180916207,0.20647165348531998,0.5704426765441895,0.08278413014018948,2.2026920789858053,1.5271672832195025,1.4034858142784536,2.7543342799417405,1.5243505631718026,2.8042666084644265,3.4361018905071434,
22,a9d17c0b86b0,13.492621372506793,2.3220219932624757,-1.1904252047309098,1.1904252047309098,2.0091735240898836,0.9256800994372023,1.6312230921252981,0.6312230921252981,0.2179590220034701,0.5709836483001709,0.4636801374916668,2.163971331464566,0.924950896238617,2.3744081454710937,2.4634433022296305,2.3485396343142546,0.7602418811682554,4.382416750487226,
23,d413c1dfbe83,7.361264678040146,1.4985517861990085,-0.9051235206920291,0.9051235206920291,1.2036180900834332,0.9472070217107914,1.320469344309259,0.320469344309259,-0.1900926935443464,0.5683248043060303,1.8174154586911997,0.2239204953668541,0.33532163896418465,2.242693599984164,2.007620653996031,0.7876865155363124,3.027801929751496,1.0470236558318677,
24,7af6641ebb7e,14.23568133858045,2.465232958176503,-1.1370729214212245,1.1370729214212245,2.204358311229242,0.9130219789779663,1.6744769564550321,0.6744769564550321,0.3678192769435959,0.5677850246429443,0.8908896719236197,2.2824251443021506,1.2642567663377262,2.4439709166733508,3.3014084236887786,2.4471053287356486,2.5049748627664985,2.600411430710711,
25,74576a2a9831,12.624103183213828,1.975143308510094,-0.852960501060335,0.852960501060335,1.7953377804177515,0.9459719973322758,1.6077156311107275,0.6077156311107275,0.5029739060832836,0.5691237449645996,0.2000073938313336,0.6883627509460191,2.382559848708586,1.096611423363185,1.1158773006989424,4.732514341839564,2.260035440831291,1.663347985003613,
26,d5908691680b,2.222521833044517,0.9592553886744043,-0.5535875426439304,0.5535875426439304,0.7894941286441739,0.9417169967584728,1.0095205856477993,0.00952058564779934,-0.5323452230537407,0.5725939273834229,2.02026210007698,1.629834631194964,0.12157122085993555,0.8143880831561646,3.474284387188736,3.7949356345487653,4.517948914858061,2.8038311003285177,
27,835a1fb3b584,8.580946382857933,1.5237535641874747,-0.9048824749955977,0.9048824749955977,1.2355149546551163,0.9592514255379709,1.389010424438138,0.38901042443813805,-0.036922869827720285,0.5776619911193848,0.31793365662607265,0.46111351989471605,1.9078206233824657,0.6085777115577096,1.591485965371575,3.4731280298131995,4.393906390370075,1.3318317967920241,
28,816a91744be1,14.66442710334673,2.384352020542334,-1.5666370573757045,1.5666370573757045,1.8114259220160032,0.958334613501147,1.662902322285654,0.662902322285654,-0.08757016926606838,0.5700218677520752,2.386802964997462,0.11059003427690861,1.327505133019212,2.004996866853211,0.5989793199201954,4.280195122096944,3.7319012620019882,1.3996638853040095,
29,ed3acfc0e613,0.42841602127979755,0.7552508995904316,-0.1037194388690923,0.1037194388690923,0.7539168861336191,0.9449419176606508,0.9946575437998749,0.005342456200125079,-0.1156395209100435,0.5666441917419434,1.9197581197788356,2.10856240294446,0.9730753470672325,0.38135273031758765,2.9465175166427855,1.1222043777965331,1.6511591911389618,3.577754797247913,
30,8b05e4e8cae9,20.427851669548925,3.04950814703187,-1.6762992895005537,1.6762992895005537,2.5672785962358007,0.9468776118691189,1.9648023824926686,0.9648023824926686,0.4763666607316649,0.5642364025115967,1.8683600409730654,0.20754923649094947,2.3093716104775504,1.8081759107766628,0.8247091737062286,4.63540339692671,2.5867642726421876,2.31493205499397,
