contact_class,N,diff_mean,diff_std,RMSE
NH...O,8,-1.4248791277043709,0.35834083893303376,1.4637751418195677
OH...N3,11,1.143893272771698,0.563071212946355,1.2636132148041548
OH...pi(C2),3,0.9379732700830185,0.2942996604731532,0.9682641076483075
OH...pi(C1),4,0.6369728696051594,0.14328383993492413,0.6489469398208949
noHbond-close(HH-H7),2,-0.5449183839006446,0.34231651875987124,0.5962602993834395
OH...pi(C3),5,0.027556613066662995,0.6602149556777867,0.5911568295166717
CH...O(C3),22,-0.22381556499453203,0.4550635742838632,0.4977583818016793
OH...pi(N9),5,0.0455594605374936,0.515708426110104,0.4635081542467575
far,2,-0.30769870647269154,0.0708691452732388,0.31175264528283847
noHbond-close(H-N3),2,-0.16708273865059645,0.08603147770766559,0.17781267990012917
CH...O(C1),1,0.05217072538928291,,0.05217072538928291
Overall,65,2.0420009076811579e-07,0.8700381860469679,0.8633196439105204
