contact_class,N,diff_mean,diff_std,RMSE
OH...N3,11,-0.6360950698701606,0.2751743182425673,0.6880800278011395
CH...O(C3),22,-0.5930852836613479,0.2356721649075718,0.6362129480856807
OH...pi(N9),5,-0.5246842895842392,0.36801853119274763,0.619389792600372
noHbond-close(H-N3),2,-0.5699118807662046,0.23334383766545289,0.5933162943377615
OH...pi(C3),5,-0.5373355731079803,0.24537468596571926,0.5804278657486234
far,2,-0.5616232075689532,0.014499660528063224,0.5617167857183494
NH...O,8,-0.5380368680153906,0.13879178480333307,0.5534789390135759
CH...O(C1),1,-0.5200598703290271,,0.5200598703290271
noHbond-close(HH-H7),2,-0.4129556201669684,0.3315229339034906,0.474853737565026
OH...pi(C2),3,-0.014396540932051413,0.24845849750136068,0.2033757041648879
OH...pi(C1),4,-0.039008840472555595,0.09095880453646907,0.08790231923584828
Overall,65,-0.5148858852111585,0.2835550240557205,0.5867486261402087
