contact_class,N,diff_mean,diff_std,RMSE
NH...O,8,-1.2350413142121173,0.24847429325171183,1.2567215634009248
OH...pi(N9),5,-0.2147385099605831,0.5918862332925346,0.5712933381276831
CH...O(C3),22,-0.3690034274668578,0.3169238068540143,0.48170399884057435
OH...pi(C3),5,-0.26231250294304054,0.3900175182829528,0.436461660234112
OH...pi(C2),3,0.3489229522546873,0.23141132217800658,0.39679721096748594
OH...N3,11,0.1562666936352156,0.34956015612274577,0.3681075809179714
noHbond-close(HH-H7),2,-0.2858890618572164,0.15919789215952276,0.3072532182477782
far,2,-0.302476509879558,0.03234847316013537,0.3033401570626849
noHbond-close(H-N3),2,-0.18903540458932455,0.1663975341289165,0.22266219676977408
OH...pi(C1),4,0.08546498988033069,0.10506179896393225,0.12483088839064758
CH...O(C1),1,-0.12320549691975713,,0.12320549691975713
Overall,65,-0.29160163055054045,0.5200564481348149,0.5927303914657613
