Phase,Run,Method,BSSE,Complex,dE_0.0_m0.1,dE_0.0_0.1,dE_0.0_0.2,dE_0.0_0.5,dE_0.0_1.0,dE_0.0_1.5,dE_0.0_2.0,dE_0.0_2.5,dE_0.0_3.0,dE_0.0_4.0,dE_0.0_5.0,dE_0.0_6.0,dE_0.0_7.0,dE_0.0_8.0,dE_0.0_9.0
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1ImH_6Wat_1Hbond,4.380199999999604,-2.7334000000009837,-4.232799999997951,-5.1401999999980035,-3.6987000000008265,-2.7246999999988475,-2.1666000000004715,-1.7811999999976251,-1.5154999999977008,-1.2597999999998137,-1.0913000000000466,-1.034799999997631,-0.980199999998149,-0.9739999999983411,-0.9317000000010012
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1ImH_6Wat_2Hbond,3.2969000000011874,-1.9958000000005995,-3.185299999997369,-3.793099999998958,-2.1093999999975495,-0.6499999999978172,0.28290000000197324,0.9678999999996449,1.4200000000018917,1.9685000000026776,2.269800000001851,2.3967000000011467,2.488600000000588,2.5549000000028173,2.583600000001752
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,0.7531999999991967,0.6507999999994354,2.1790000000000873,8.580299999997806,17.26970000000074,22.235399999997753,25.527099999999336,27.99199999999837,29.899600000000646,32.555599999999686,34.356299999999464,35.58740000000034,36.51220000000103,37.18729999999778,37.74989999999889
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_2Hbond,0.647899999999936,0.49469999999928405,1.7489999999997963,7.466099999997823,16.41479999999865,22.402399999999034,26.625,29.803399999997055,32.22729999999865,35.61499999999796,37.82499999999709,39.30919999999969,40.39760000000024,41.21929999999702,41.83679999999731
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1ImH_6Wat_1Hbond,2.167799999995623,-1.4371999999857508,-2.1244999999762513,-2.56150000001071,-1.1098999999812804,0.28779999999096617,1.183199999970384,1.7010000000009313,1.9660000000149012,2.2290999999968335,2.359500000020489,2.450399999972433,2.455900000000838,2.503599999996368,2.5130999999819323
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1ImH_6Wat_2Hbond,2.5182999999960884,-1.522499999962747,-2.492499999993015,-2.876300000003539,-0.5531999999657273,1.7639000000199303,3.2710000000079162,4.1894000000320375,4.713900000031572,5.248399999982212,5.5305999999982305,5.6243000000249594,5.722100000013597,5.745100000000093,5.758399999991525
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_1Hbond,-0.6254999998491257,1.226299999980256,2.9971000000368804,8.894400000106543,17.730699999956414,23.937099999981,28.086099999956787,30.91980000003241,32.91610000003129,35.57660000002943,37.26110000000335,38.45240000006743,39.26179999997839,39.92929999995977,40.39950000005774
SP_init,run41,M052X D3 aug-cc-pVTZ,no,1Zn_1ImH_6Wat_2Hbond,0.4309000000357628,0.47459999984130263,1.494799999985844,6.630099999951199,16.586099999956787,24.45699999993667,29.98659999994561,33.79909999994561,36.473800000036135,39.90639999997802,42.04000000003725,43.41219999990426,44.432299999985844,45.14589999988675,45.69079999998212
SP_init,run8,mDFTB3D3/3ob_prime,no,1ImH_6Wat_1Hbond,2.7652999999991152,-1.9707999999991443,-3.1032999999988533,-3.2010000000009313,-1.2881000000015774,-0.40230000000155997,-0.019400000001041917,0.23389999999926658,0.3804999999993015,0.5296999999991385,0.6275999999998021,0.6592999999993481,0.6746999999995751,0.6791000000011991,0.6903999999994994
SP_init,run8,mDFTB3D3/3ob_prime,no,1ImH_6Wat_2Hbond,2.8377000000000407,-1.5967000000018743,-2.351200000000972,-1.8830999999991036,0.3911999999982072,1.6301999999996042,2.3064999999987776,2.6974000000009255,2.9664000000011583,3.2736000000004424,3.4281000000009954,3.470099999998638,3.5169999999998254,3.5459000000009837,3.5504000000000815
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_1Hbond,-1.0204000000012456,1.5405999999966298,3.5335999999988417,10.772299999996903,19.16859999999724,22.93359999999666,25.05659999999989,26.577499999999418,27.700299999996787,29.247599999998783,30.2725999999966,30.96219999999812,31.45889999999781,31.830799999999726,32.125999999996566
SP_init,run8,mDFTB3D3/3ob_prime,no,1Zn_1ImH_6Wat_2Hbond,0.13650000000052387,0.9268999999985681,2.5997999999999593,9.129700000001321,17.622800000001007,22.17569999999978,25.04650000000038,27.03440000000046,28.52679999999964,30.54279999999926,31.809900000000198,32.628600000000006,33.23630000000048,33.685199999999895,34.015299999999115
