run,scan_value,zn_n_distance,imh_total_charge,zn_charge,wat6_charge,zn_6wat_charge,output_path
run117,-0.1,4.15973966421436,,1.635143,0.36485600000000007,1.999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_m0.1_full/old.orc_job.dat
run117,0.0,4.259739664185972,,1.635929,0.364072,2.000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_full/old.orc_job.dat
run117,0.1,4.359739664157584,,1.636596,0.363405,2.000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_0.1_full/old.orc_job.dat
run117,0.2,4.459739664226648,,1.637158,0.362844,2.000002,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_0.2_full/old.orc_job.dat
run117,0.5,4.759739664218344,,1.63813,0.361869,1.999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_0.5_full/old.orc_job.dat
run117,1.0,5.259739664162147,,1.638515,0.361485,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_1.0_full/old.orc_job.dat
run117,1.5,5.7597396641945195,,1.638592,0.361409,2.000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_1.5_full/old.orc_job.dat
run117,2.0,6.259739664150032,,1.638612,0.361387,1.9999989999999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_2.0_full/old.orc_job.dat
run117,2.5,6.7597396641912875,,1.638604,0.361396,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_2.5_full/old.orc_job.dat
run117,3.0,7.259739664223659,,1.638587,0.361412,1.999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_3.0_full/old.orc_job.dat
run117,4.0,8.259739664199834,,1.638567,0.361433,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_4.0_full/old.orc_job.dat
run117,5.0,9.259739664167125,,1.638567,0.361431,1.9999980000000002,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_5.0_full/old.orc_job.dat
run117,6.0,10.259739664163893,,1.638572,0.361429,2.000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_6.0_full/old.orc_job.dat
run117,7.0,11.259739664237522,,1.638574,0.361426,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_7.0_full/old.orc_job.dat
run117,8.0,12.259739664204812,,1.638577,0.361421,1.999998,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_8.0_full/old.orc_job.dat
run117,9.0,13.259739664180987,,1.63858,0.36141999999999996,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1Zn_1ImH_6Wat_1Hbond_IMH_9.0_full/old.orc_job.dat
run118,-0.1,4.15973966421436,-1.0000000000426335e-06,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1Zn_1ImH_6Wat_1Hbond_IMH_m0.1_full/old.orc_job.dat
run118,0.0,4.259739664185972,1.0000000000287557e-06,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1Zn_1ImH_6Wat_1Hbond_full/old.orc_job.dat
run118,0.1,4.359739664157584,-1.0408340855860843e-16,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1Zn_1ImH_6Wat_1Hbond_IMH_0.1_full/old.orc_job.dat
run118,0.2,4.459739664226648,-9.999999999845202e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1Zn_1ImH_6Wat_1Hbond_IMH_0.2_full/old.orc_job.dat
run118,0.5,4.759739664218344,0.0,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1Zn_1ImH_6Wat_1Hbond_IMH_0.5_full/old.orc_job.dat
run118,1.0,5.259739664162147,-7.28583859910259e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1Zn_1ImH_6Wat_1Hbond_IMH_1.0_full/old.orc_job.dat
run118,1.5,5.7597396641945195,1.734723475976807e-18,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1Zn_1ImH_6Wat_1Hbond_IMH_1.5_full/old.orc_job.dat
