run,scan_value,zn_n_distance,imh_total_charge,zn_charge,wat6_charge,zn_6wat_charge,output_path
run110,-0.1,4.15973966421436,0.15669641999999998,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_m0.1_full/detailed.out
run110,-0.1,4.15973966421436,,0.80574994,1.03755363,1.8433035699999998,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_m0.1_full/detailed.out
run110,0.0,4.259739664185972,0.12993066999999997,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_full/detailed.out
run110,0.0,4.259739664185972,,0.80567316,1.06439615,1.87006931,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_full/detailed.out
run110,0.1,4.359739664157584,0.10576080000000004,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_0.1_full/detailed.out
run110,0.1,4.359739664157584,,0.80571609,1.08852311,1.8942392,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_0.1_full/detailed.out
run110,0.2,4.459739664226648,0.08463801000000001,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_0.2_full/detailed.out
run110,0.2,4.459739664226648,,0.80583457,1.10952741,1.9153619800000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_0.2_full/detailed.out
run110,0.5,4.759739664218344,0.03814031000000001,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_0.5_full/detailed.out
run110,0.5,4.759739664218344,,0.80632689,1.15553279,1.96185968,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_0.5_full/detailed.out
run110,1.0,5.259739664162147,0.006366159999999989,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_1.0_full/detailed.out
run110,1.0,5.259739664162147,,0.8069986,1.1866352500000001,1.9936338500000002,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_1.0_full/detailed.out
run110,1.5,5.7597396641945195,0.0006174800000000105,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_1.5_full/detailed.out
run110,1.5,5.7597396641945195,,0.80735969,1.19202283,1.99938252,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_1.5_full/detailed.out
run110,2.0,6.259739664150032,3.724999999999562e-05,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_2.0_full/detailed.out
run110,2.0,6.259739664150032,,0.80753023,1.19243253,1.99996276,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_2.0_full/detailed.out
run110,2.5,6.7597396641912875,1.9600000000161155e-06,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_2.5_full/detailed.out
run110,2.5,6.7597396641912875,,0.80760289,1.19239517,1.9999980599999998,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_2.5_full/detailed.out
run110,3.0,7.259739664223659,1.1999999999928734e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_3.0_full/detailed.out
run110,3.0,7.259739664223659,,0.80762739,1.19237251,1.9999999,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_3.0_full/detailed.out
run110,4.0,8.259739664199834,1.0000000015553123e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_4.0_full/detailed.out
run110,4.0,8.259739664199834,,0.80762335,1.19237666,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_4.0_full/detailed.out
run110,5.0,9.259739664167125,-1.0000000001675335e-08,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_5.0_full/detailed.out
run110,5.0,9.259739664167125,,0.80760263,1.1923973799999998,2.00000001,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_5.0_full/detailed.out
run110,6.0,10.259739664163893,9.999999966980866e-09,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_6.0_full/detailed.out
run110,6.0,10.259739664163893,,0.80758307,1.19241693,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_6.0_full/detailed.out
run110,7.0,11.259739664237522,9.999999987797548e-09,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_7.0_full/detailed.out
run110,7.0,11.259739664237522,,0.80756758,1.19243242,2.0,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_7.0_full/detailed.out
run110,8.0,12.259739664204812,4.163336342344337e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_8.0_full/detailed.out
run110,8.0,12.259739664204812,,0.80755569,1.1924443200000003,2.0000000100000004,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_8.0_full/detailed.out
run110,9.0,13.259739664180987,4.163336342344337e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run110/1Zn_1ImH_6Wat_1Hbond_IMH_9.0_full/detailed.out
