run,scan_value,zn_n_distance,imh_total_charge,zn_charge,wat6_charge,zn_6wat_charge,output_path
run117,-0.1,4.15973966421436,,,1.000000000001e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_m0.1_full/old.orc_job.dat
run117,0.0,4.259739664185972,,,3.122502256758253e-17,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_full/old.orc_job.dat
run117,0.1,4.359739664157584,,,-2.000000000008939e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_0.1_full/old.orc_job.dat
run117,0.2,4.459739664226648,,,1.0000000000114084e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_0.2_full/old.orc_job.dat
run117,0.5,4.759739664218344,,,-9.999999999732445e-07,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_0.5_full/old.orc_job.dat
run117,1.0,5.259739664162147,,,-1.999999999991592e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_1.0_full/old.orc_job.dat
run117,1.5,5.7597396641945195,,,1.999999999991592e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_1.5_full/old.orc_job.dat
run117,2.0,6.259739664150032,,,2.000000000002e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_2.0_full/old.orc_job.dat
run117,2.5,6.7597396641912875,,,-9.999999999905917e-07,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_2.5_full/old.orc_job.dat
run117,3.0,7.259739664223659,,,-1.999999999984653e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_3.0_full/old.orc_job.dat
run117,4.0,8.259739664199834,,,1.000000000007939e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_4.0_full/old.orc_job.dat
run117,5.0,9.259739664167125,,,-2.0000000000124085e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_5.0_full/old.orc_job.dat
run117,6.0,10.259739664163893,,,-6.938893903907228e-18,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_6.0_full/old.orc_job.dat
run117,7.0,11.259739664237522,,,9.999999999940612e-07,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_7.0_full/old.orc_job.dat
run117,8.0,12.259739664204812,,,-1.999999999984653e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_8.0_full/old.orc_job.dat
run117,9.0,13.259739664180987,,,1.9999999999950613e-06,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run117/1ImH_6Wat_1Hbond_IMH_9.0_full/old.orc_job.dat
run118,-0.1,4.15973966421436,-1.000000000001e-06,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_m0.1_full/old.orc_job.dat
run118,0.0,4.259739664185972,-2.7755575615628914e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_full/old.orc_job.dat
run118,0.1,4.359739664157584,-9.999999999593667e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_0.1_full/old.orc_job.dat
run118,0.2,4.459739664226648,1.0000000000127095e-06,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_0.2_full/old.orc_job.dat
run118,0.5,4.759739664218344,-9.999999999663056e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_0.5_full/old.orc_job.dat
run118,1.0,5.259739664162147,5.204170427930421e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_1.0_full/old.orc_job.dat
run118,1.5,5.7597396641945195,9.999999999107945e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_1.5_full/old.orc_job.dat
run118,2.0,6.259739664150032,1.000000000007939e-06,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_2.0_full/old.orc_job.dat
run118,2.5,6.7597396641912875,-9.999999999663056e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_2.5_full/old.orc_job.dat
run118,3.0,7.259739664223659,-9.999999999732445e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_3.0_full/old.orc_job.dat
run118,4.0,8.259739664199834,-1.0061396160665481e-16,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_4.0_full/old.orc_job.dat
run118,5.0,9.259739664167125,1.734723475976807e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_5.0_full/old.orc_job.dat
run118,6.0,10.259739664163893,-9.99999999945489e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_6.0_full/old.orc_job.dat
run118,7.0,11.259739664237522,-3.469446951953614e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_7.0_full/old.orc_job.dat
run118,8.0,12.259739664204812,3.122502256758253e-17,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_8.0_full/old.orc_job.dat
run118,9.0,13.259739664180987,-9.99999999969775e-07,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run118/1ImH_6Wat_1Hbond_IMH_9.0_full/old.orc_job.dat
run41,-0.1,4.15973966421436,0.16026400000000002,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_m0.1_full/old.orc_job.dat
run41,-0.1,4.15973966421436,,,-0.16026500000000002,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_m0.1_full/old.orc_job.dat
run41,0.0,4.259739664185972,0.09562199999999998,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_full/old.orc_job.dat
run41,0.0,4.259739664185972,,,-0.095623,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_full/old.orc_job.dat
run41,0.1,4.359739664157584,0.04518300000000003,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_0.1_full/old.orc_job.dat
run41,0.1,4.359739664157584,,,-0.04518400000000003,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_0.1_full/old.orc_job.dat
run41,0.2,4.459739664226648,0.013553999999999969,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_0.2_full/old.orc_job.dat
run41,0.2,4.459739664226648,,,-0.013551999999999951,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_0.2_full/old.orc_job.dat
run41,0.5,4.759739664218344,-0.005782999999999993,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_0.5_full/old.orc_job.dat
run41,0.5,4.759739664218344,,,0.005782000000000002,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_0.5_full/old.orc_job.dat
run41,1.0,5.259739664162147,0.014750999999999981,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_1.0_full/old.orc_job.dat
run41,1.0,5.259739664162147,,,-0.014748999999999995,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_1.0_full/old.orc_job.dat
run41,1.5,5.7597396641945195,0.014884999999999989,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_1.5_full/old.orc_job.dat
run41,1.5,5.7597396641945195,,,-0.014885999999999979,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_1.5_full/old.orc_job.dat
run41,2.0,6.259739664150032,0.005797999999999984,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_2.0_full/old.orc_job.dat
run41,2.0,6.259739664150032,,,-0.005798000000000001,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_2.0_full/old.orc_job.dat
run41,2.5,6.7597396641912875,0.0012880000000000807,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_2.5_full/old.orc_job.dat
run41,2.5,6.7597396641912875,,,-0.0012870000000000069,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_2.5_full/old.orc_job.dat
run41,3.0,7.259739664223659,-0.0002290000000000278,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_3.0_full/old.orc_job.dat
run41,3.0,7.259739664223659,,,0.00023000000000000798,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_3.0_full/old.orc_job.dat
run41,4.0,8.259739664199834,-0.00040900000000002393,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_4.0_full/old.orc_job.dat
run41,4.0,8.259739664199834,,,0.0004089999999999927,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_4.0_full/old.orc_job.dat
run41,5.0,9.259739664167125,-0.00017199999999999854,,,,/home/zbai29/data/qmmm_test/react_benchmark/Zn_scan_IMH/SP_init/run41/1ImH_6Wat_1Hbond_IMH_5.0_full/old.orc_job.dat
