Phase,Run,Method,BSSE,Complex_with_zn,Complex_without_zn,scan_value_with_zn,scan_value_without_zn_reversed,Zn_N_distance,Zn_N_distance_without_zn_reversed,E_with_zn,E_without_zn_reversed,dE_with_zn_minus_without_zn_reversed,dE_shifted_to_xmax
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,9.0,4.15973966421436,13.259739664180987,-24703.1607,-22133.2917,-2569.868999999999,-31.684799999999086
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,8.0,4.259739664185972,12.259739664204812,-24703.9139,-22133.334,-2570.5799000000006,-32.39570000000094
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,7.0,4.359739664157584,11.259739664237522,-24703.2631,-22133.3402,-2569.9229000000014,-31.7387000000017
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,6.0,4.459739664226648,10.259739664163893,-24701.7349,-22133.3948,-2568.3401000000013,-30.155900000001566
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,5.0,4.759739664218344,9.259739664167125,-24695.3336,-22133.4513,-2561.882300000001,-23.698100000001432
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,4.0,5.259739664162147,8.259739664199834,-24686.6442,-22133.6198,-2553.0243999999984,-14.840199999998731
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,3.0,5.7597396641945195,7.259739664223659,-24681.6785,-22133.8755,-2547.8030000000035,-9.61880000000383
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,2.5,6.259739664150032,6.7597396641912875,-24678.3868,-22134.1412,-2544.245600000002,-6.0614000000023225
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,2.0,6.7597396641912875,6.259739664150032,-24675.9219,-22134.5266,-2541.3953,-3.2111000000004424
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,1.5,7.259739664223659,5.7597396641945195,-24674.0143,-22135.0847,-2538.9295999999995,-0.7453999999997905
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,1.0,8.259739664199834,5.259739664162147,-24671.3583,-22136.0587,-2535.2995999999985,2.884600000001228
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,0.5,9.259739664167125,4.759739664218344,-24669.5576,-22137.5002,-2532.0574000000015,6.126799999998184
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,0.2,10.259739664163893,4.459739664226648,-24668.3265,-22136.5928,-2531.7337000000007,6.4504999999990105
