Phase,Run,Method,BSSE,Complex_with_imh,Complex_without_imh,scan_value,E_with_imh,E_without_imh,dE_with_minus_without,dE_shifted_to_min
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,-323.6499,101.8674,-425.5173,0.0
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,-324.1934,100.2704,-424.4638,1.0534999999999854
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,-323.8944,99.5582,-423.4526,2.0646999999999593
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,-323.0522,99.4813,-422.5335,2.983799999999974
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,-319.6936,100.3528,-420.0464,5.470899999999972
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,-314.576,102.1481,-416.7241,8.793199999999956
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,-310.8854,103.2854,-414.1708,11.346499999999992
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,-308.1902,103.9669,-412.1571,13.360199999999963
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,-306.1489,104.3969,-410.54580000000004,14.971499999999935
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,-304.5676,104.6625,-409.2301,16.287199999999984
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,-302.2967,104.9452,-407.2419,18.27539999999999
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,-300.7093,105.1169,-405.8262,19.691100000000006
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,-299.5802,105.2027,-404.7829,20.734399999999994
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,-298.7418,105.2492,-403.991,21.526299999999992
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,-298.1012,105.2746,-403.3758,22.14149999999995
SP_init,run0,MM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,-297.5696,105.3198,-402.88939999999997,22.62790000000001
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,-24703.1607,-22127.9798,-2575.1808999999994,0.0
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,-24703.9139,-22132.36,-2571.553899999999,3.6270000000004075
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,-24703.2631,-22135.0934,-2568.1696999999986,7.0112000000008265
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,-24701.7349,-22136.5928,-2565.142100000001,10.038799999998446
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,-24695.3336,-22137.5002,-2557.833400000003,17.347499999996217
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,-24686.6442,-22136.0587,-2550.5854999999974,24.595400000001973
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,-24681.6785,-22135.0847,-2546.5938000000024,28.587099999997008
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,-24678.3868,-22134.5266,-2543.860199999999,31.320700000000215
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,-24675.9219,-22134.1412,-2541.780700000003,33.4001999999964
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,-24674.0143,-22133.8755,-2540.1388000000006,35.042099999998754
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,4.0,-24671.3583,-22133.6198,-2537.7384999999995,37.44239999999991
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,5.0,-24669.5576,-22133.4513,-2536.1062999999995,39.07459999999992
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,6.0,-24668.3265,-22133.3948,-2534.931700000001,40.24919999999838
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,7.0,-24667.4017,-22133.3402,-2534.0615,41.11939999999959
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,8.0,-24666.7266,-22133.334,-2533.392600000003,41.788299999996525
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,9.0,-24666.164,-22133.2917,-2532.872299999999,42.3086000000003
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,-1546175.2354,-429810.0674,-1116365.1679999998,0.0
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,-1546174.6099,-429812.2352,-1116362.3747,2.793299999786541
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,-1546173.3836,-429813.6724,-1116359.7112,5.456799999810755
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,-1546171.6128,-429814.3597,-1116357.2531,7.914899999741465
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,-1546165.7155,-429814.7967,-1116350.9187999999,14.249199999962002
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,-1546156.8792,-429813.3451,-1116343.5341,21.633899999782443
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,-1546150.6728,-429811.9474,-1116338.7254,26.442599999718368
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,-1546146.5238,-429811.052,-1116335.4718,29.69619999988936
SP_init,run41,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux VERYTIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,-1546143.6901,-429810.5342,-1116333.1559000001,32.012099999701604
