Phase,Run,Method,BSSE,Complex_with_zn,Complex_without_zn,scan_value,Zn_N_distance,E_with_zn,E_without_zn,dE_with_zn_minus_without_zn,dE_shifted_to_min,dE_shifted_to_max
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,-0.1,4.15973966421436,-24703.1607,-22127.9798,-2575.1808999999994,0.0,-42.3086000000003
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.0,4.259739664185972,-24703.9139,-22132.36,-2571.553899999999,3.6270000000004075,-38.68159999999989
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.1,4.359739664157584,-24703.2631,-22135.0934,-2568.1696999999986,7.0112000000008265,-35.29739999999947
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.2,4.459739664226648,-24701.7349,-22136.5928,-2565.142100000001,10.038799999998446,-32.26980000000185
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,0.5,4.759739664218344,-24695.3336,-22137.5002,-2557.833400000003,17.347499999996217,-24.96110000000408
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.0,5.259739664162147,-24686.6442,-22136.0587,-2550.5854999999974,24.595400000001973,-17.713199999998324
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,1.5,5.7597396641945195,-24681.6785,-22135.0847,-2546.5938000000024,28.587099999997008,-13.721500000003289
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.0,6.259739664150032,-24678.3868,-22134.5266,-2543.860199999999,31.320700000000215,-10.987900000000081
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,2.5,6.7597396641912875,-24675.9219,-22134.1412,-2541.780700000003,33.4001999999964,-8.908400000003894
SP_init,run110,mDFTB3D3/optimized_run59 all QM,no,1Zn_1ImH_6Wat_1Hbond,1ImH_6Wat_1Hbond,3.0,7.259739664223659,-24674.0143,-22133.8755,-2540.1388000000006,35.042099999998754,-7.2665000000015425
