Phase,Run,Method,BSSE,E_MImH,E_MIm,E_H,E_H2O,E_H3O,E_1Zn_1MImH_3MeOH,E_1Zn_1MIm_3MeOH,dE_MImH_MIm_H,dE_1Zn_1MImH_3MeOH_1Zn_1MIm_3MeOH_H,dE_MImH_H2O_MIm_H3O,dE_1Zn_1MImH_3MeOH_H2O_1Zn_1MIm_3MeOH_H3O,dE_H2O_H_H3O
SP_opt,run25,mDFTB3D3/m3ob-test_prime_Zn,no,-10165.5566,-10486.744,151.0415,-2968.9208,-3257.2012,-24279.8093,-24108.8077,-170.14590000000135,322.04309999999896,-609.4678000000004,-117.27880000000005,-439.32190000000014
SP_opt,run26,mDFTB3D3/m3ob-test_Zn,no,-10165.5566,-10486.744,151.0415,-2985.917,-3273.3171,-24342.3214,-24407.8192,-170.14590000000135,85.54369999999835,-608.587500000001,-352.8979000000013,-438.44160000000034
SP_init,run7,GFN2-xTB,no,-10961.7088,-10762.7226,144.0462,-3181.6033,-3192.8715,-26286.641,-26264.2417,343.03240000000187,166.44550000000163,187.71800000000212,11.13110000000006,-155.31439999999998
SP_opt,run7,GFN2-xTB,no,-10962.9834,-10763.8963,144.0462,-3181.8147,-3192.889,-26291.3207,-26268.9082,343.1332999999995,166.45869999999923,188.01279999999952,11.338199999999233,-155.12050000000022
SP_init,run21,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C  def2/J,yes,-166300.8797,-165945.6692,0.0,-47896.0291,-48066.7488,-1499620.5903,-1499427.7576000001,355.2104999999865,192.8326999999117,184.49079999998503,22.11299999996845,-170.71970000000147
SP_init,run21,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C  def2/J,no,-166300.8797,-165945.6692,0.0,-47896.0291,-48066.7488,-1499629.6554,-1499437.4694,355.2104999999865,192.18599999998696,184.49079999998503,21.466300000043702,-170.71970000000147
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-166300.7263,-165945.5097,0.0,-47895.9383,-48066.5919,-1499620.1282000002,-1499427.2873,355.2166000000143,192.84090000018477,184.56300000001647,22.187300000303367,-170.65359999999782
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,no,-166300.7263,-165945.5097,0.0,-47895.9383,-48066.5919,-1499629.2215,-1499437.0395,355.2166000000143,192.1820000000298,184.56300000001647,21.528400000148395,-170.65359999999782
SP_init,run20,RI-MP2 def2-TZVPPD def2-TZVPPD/C,no,-166300.7247,-165945.5,0.0,-47895.9424,-48066.5859,-1499629.2229,-1499437.0306,355.22469999999157,192.19229999999516,184.58119999998598,21.54879999993136,-170.6434999999983
SP_init,run20,RI-MP2 def2-TZVPPD def2-TZVPPD/C,yes,-166300.7247,-165945.5,0.0,-47895.9424,-48066.5859,-1499620.1324,-1499427.271,355.22469999999157,192.86140000005253,184.58119999998598,22.21789999998873,-170.6434999999983
SP_init,run35,M052X aug-cc-pVTZ D3ZERO RIJCOSX AutoAux TIGHTSCF DEFGRID3 PCDTrimAuxJ NoAutoStart,no,-166673.58970767102,-166315.55565896136,0.0,-47973.76548992536,-48144.051975301394,-1500887.4017359049,-1500691.4005972296,358.03404870966915,196.00113867525943,187.74756333362166,25.714653299153724,-170.28648537603294
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,no,-166494.648,-166136.2102,0.0,-47931.7962,-48102.7974,-1500329.8292,-1500136.9919,358.43779999998515,192.83730000001378,187.4365999999718,21.83609999997134,-171.00120000000607
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,yes,-166494.648,-166136.2102,0.0,-47931.7962,-48102.7974,-1500327.926,-1500134.7163000002,358.43779999998515,193.20969999977387,187.4365999999718,22.20849999973143,-171.00120000000607
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,no,-166344.54883106804,-165984.92827739404,0.0,-47904.309319453474,-48076.303267171555,-1499693.9794892527,-1499497.9640857654,359.6205536740017,196.01540348725393,187.62660595592752,24.02145576912153,-171.99394771808147
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-166344.54883106804,-165984.92827739404,0.0,-47904.309319453474,-48076.303267171555,-1499685.324933167,-1499488.6281723585,359.6205536740017,196.69676080858335,187.62660595592752,24.702813090450945,-171.99394771808147
SP_opt,run27,g-xTB,no,-166630.34798697775,-166273.1015836257,2.8052507441690975,-47965.28442322721,-48131.858651438706,-1500748.052272611,-1500558.825194328,360.05165409619804,192.03232902707532,190.67217514054937,22.65285007145576,-169.3794789556643
SP_init,run27,g-xTB,no,-166628.77920758724,-166271.38571140944,2.8052507441690975,-47965.17811304224,-48131.748756838504,-1500744.994674054,-1500554.9855631478,360.19874692196026,192.8143616502639,190.82285238154145,23.438467109903286,-169.37589454043444
SP_init,run18,B3LYP aug-cc-pVTZ D3BJ,yes,-166600.7419,-166240.3395,0.0,-47960.4042,-48131.568,-1500739.6958,-1500542.5636,360.40239999999176,197.13220000010915,189.23859999998967,25.96840000013617,-171.16380000000208
SP_init,run18,B3LYP aug-cc-pVTZ D3BJ,no,-166600.7419,-166240.3395,0.0,-47960.4042,-48131.568,-1500740.7783,-1500543.6695,360.40239999999176,197.10879999981262,189.23859999998967,25.944999999839638,-171.16380000000208
SP_init,run19,B3LYP def2-TZVPPD D3BJ,no,-166604.7753,-166243.7442,0.0,-47962.425,-48133.7201,-1500723.3088,-1500526.2445,361.031100000022,197.06429999996908,189.73600000001898,25.769199999936973,-171.29509999999573
SP_init,run19,B3LYP def2-TZVPPD D3BJ,yes,-166604.7753,-166243.7442,0.0,-47962.425,-48133.7201,-1500721.4308999998,-1500524.0296,361.031100000022,197.401299999794,189.73600000001898,26.106199999761884,-171.29509999999573
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,yes,-166604.5918,-166243.5597,0.0,-47962.3273,-48133.5542,-1500720.8735000002,-1500523.4966000002,361.03209999998217,197.37690000003204,189.80519999999524,26.150000000132422,-171.22690000000148
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,no,-166604.5918,-166243.5597,0.0,-47962.3273,-48133.5542,-1500722.7855,-1500525.7487,361.03209999998217,197.03679999988526,189.80519999999524,25.809899999985646,-171.22690000000148
SP_init,run14,M06L-D3 def2-SVPD DEFGRID3,yes,-166494.1788,-166132.3866,0.0,-47919.8077,-48091.2998,-1500287.0208,-1500090.0955,361.7921999999962,196.9253000000026,190.30009999998583,25.433200000079523,-171.49210000000312
SP_init,run14,M06L-D3 def2-SVPD DEFGRID3,no,-166494.1788,-166132.3866,0.0,-47919.8077,-48091.2998,-1500295.7458,-1500099.3977,361.7921999999962,196.34809999982826,190.30009999998583,24.85599999990518,-171.49210000000312
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,yes,-166669.5383,-166306.237,0.0,-47972.8796,-48147.4066,-1500857.7534,-1500660.7877999998,363.3012999999919,196.96560000022873,188.77429999997548,22.438600000125007,-174.52700000000186
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,no,-166669.5383,-166306.237,0.0,-47972.8796,-48147.4066,-1500860.9102,-1500664.2681,363.3012999999919,196.6421000000555,188.77429999997548,22.11509999995178,-174.52700000000186
SP_init,run1,DFTB3-D3,no,-8718.1965,-8492.2037,151.0415,-2548.9846,-2574.6435,-23438.2525,-23388.3131,377.03429999999935,200.98089999999866,200.33389999999963,24.280500000000757,-176.70040000000037
SP_opt,run1,DFTB3-D3,no,-8718.7057,-8492.6292,151.0415,-2549.2782,-2575.4462,-23440.4644,-23390.2941,377.1180000000004,201.21180000000095,199.9085000000009,24.002300000003288,-177.20949999999968
SP_init,run17,DFTB3 DampingH,no,-8715.2973,-8489.1452,151.0415,-2554.3857,-2575.4007,-23429.9402,-23380.4917,377.1935999999987,200.4900000000016,205.137099999999,28.433500000003733,-172.05650000000034
SP_opt,run17,DFTB3 DampingH,no,-8715.7977,-8489.562,151.0415,-2554.9628,-2576.6276,-23432.0549,-23382.5404,377.27719999999863,200.55599999999686,204.57089999999926,27.849699999997483,-172.70630000000003
SP_init,run2,DFTB3-D3H5,no,-8715.9547,-8489.5554,151.0415,-2548.5675,-2573.505,-23435.3181,-23385.3569,377.4408000000003,201.0027000000009,201.46180000000186,25.023700000000645,-175.979
SP_opt,run2,DFTB3-D3H5,no,-8716.4492,-8489.953,151.0415,-2548.8598,-2574.3055,-23437.3059,-23387.7504,377.53769999999895,200.59699999999793,201.05049999999937,24.109800000000178,-176.48719999999977
SP_init,run6,DFTB3-D3 DampingH,no,-8719.0173,-8492.4537,151.0415,-2554.5245,-2575.6631,-23442.7209,-23393.1659,377.60509999999886,200.59649999999965,205.42499999999973,28.416399999998703,-172.18010000000024
SP_opt,run6,DFTB3-D3 DampingH,no,-8719.5187,-8492.8788,151.0415,-2555.1015,-2576.8898,-23444.8634,-23395.0854,377.6813999999995,200.8194999999978,204.85160000000133,27.98969999999781,-172.82979999999972
SP_opt,run15,mDFTB3D3/3ob_prime O_unmodified,no,-8709.0785,-8475.2432,151.0415,-2542.0444,-2568.765,-23413.6749,-23362.5383,384.8767999999982,202.178100000001,207.11469999999963,24.41600000000244,-177.76209999999966
SP_opt,run8,mDFTB3D3/3ob_prime,no,-8709.0785,-8475.2432,151.0415,-2516.7433,-2545.1215,-23339.3739,-23287.6829,384.8767999999982,202.73249999999825,205.4570999999978,23.31279999999788,-179.41970000000012
SP_init,run15,mDFTB3D3/3ob_prime O_unmodified,no,-8708.0265,-8474.0148,151.0415,-2541.9229,-2567.6284,-23408.8245,-23358.5684,385.05319999999847,201.29759999999806,208.30619999999954,24.550599999997303,-176.74700000000004
SP_init,run8,mDFTB3D3/3ob_prime,no,-8708.0265,-8474.0148,151.0415,-2516.4461,-2544.0986,-23334.8651,-23283.6775,385.05319999999847,202.22909999999683,206.35919999999987,23.53509999999642,-178.6939999999997
SP_opt,run9,mDFTB3D3/3ob,no,-8711.911,-8469.6798,151.0415,-2550.5113,-2575.8842,-23428.5257,-23373.7067,393.27269999999953,205.86049999999886,216.85829999999987,29.446099999999205,-176.41439999999986
SP_init,run9,mDFTB3D3/3ob,no,-8711.0891,-8468.4962,151.0415,-2550.4013,-2575.1778,-23425.9963,-23371.5659,393.634399999999,205.47189999999682,217.81640000000016,29.653899999996156,-175.81799999999996
SP_init,run25,mDFTB3D3/m3ob-test_prime_Zn,no,-8872.2609,-8627.0868,151.0415,-2547.7033,-2585.0141,-23432.3616,-23411.4803,396.21559999999954,171.92280000000028,207.86329999999998,-16.42949999999928,-188.35229999999976
SP_init,run26,mDFTB3D3/m3ob-test_Zn,no,-8872.2609,-8627.0868,151.0415,-2573.1734,-2608.5305,-23509.2255,-23488.0735,396.21559999999954,172.19350000000122,209.81700000000137,-14.205099999998765,-186.39859999999973
