reaction_type,from_formula,to_formula,balanced_reaction,run0|BSSE=no,run8|BSSE=no,run41|BSSE=no,run102|BSSE=no,run102|BSSE=yes,run110|BSSE=no
Add MeOH,1Zn_0MIm_0MImH_4MeOH,1Zn_0MIm_0MImH_5MeOH,1Zn_0MIm_0MImH_4MeOH + MeOH -> 1Zn_0MIm_0MImH_5MeOH,-32.826199999999986,-26.730200000000423,-30.631400000012945,-26.35140785711701,-27.205731916968944,-28.51859999999715
Add MeOH,1Zn_0MIm_0MImH_5MeOH,1Zn_0MIm_0MImH_6MeOH,1Zn_0MIm_0MImH_5MeOH + MeOH -> 1Zn_0MIm_0MImH_6MeOH,-29.921499999999998,-25.45250000000169,-27.791200000036042,-25.149831492017256,-23.472183509991737,-25.407000000000608
Add MeOH,1Zn_0MIm_1MImH_3MeOH,1Zn_0MIm_1MImH_4MeOH,1Zn_0MIm_1MImH_3MeOH + MeOH -> 1Zn_0MIm_1MImH_4MeOH,-27.363700000000012,-24.0795000000021,-24.768600000010338,-20.5740489079908,-20.8812305147585,-24.21249999999918
Add MeOH,1Zn_0MIm_1MImH_4MeOH,1Zn_0MIm_1MImH_5MeOH,1Zn_0MIm_1MImH_4MeOH + MeOH -> 1Zn_0MIm_1MImH_5MeOH,-27.429099999999995,-17.206000000000586,-22.987900000007357,-19.84996075500385,-19.400906073424267,-17.72919999999931
Add MeOH,1Zn_0MIm_2MImH_2MeOH,1Zn_0MIm_2MImH_3MeOH,1Zn_0MIm_2MImH_2MeOH + MeOH -> 1Zn_0MIm_2MImH_3MeOH,-27.014399999999956,-19.99339999999802,-21.73240000003716,-17.39830675176927,-17.626397623476805,-19.53209999999808
Add MeOH,1Zn_0MIm_2MImH_3MeOH,1Zn_0MIm_2MImH_4MeOH,1Zn_0MIm_2MImH_3MeOH + MeOH -> 1Zn_0MIm_2MImH_4MeOH,-23.62850000000002,-12.511399999998048,-16.75330000015674,-12.393402714311378,-11.239419172081398,-11.384100000000672
Add MeOH,1Zn_0MIm_3MImH_1MeOH,1Zn_0MIm_3MImH_2MeOH,1Zn_0MIm_3MImH_1MeOH + MeOH -> 1Zn_0MIm_3MImH_2MeOH,-26.09559999999998,-15.701700000000073,-17.41659999982221,-13.3425283190154,-13.808952383726137,-14.520999999998367
Add MeOH,1Zn_0MIm_3MImH_2MeOH,1Zn_0MIm_3MImH_3MeOH,1Zn_0MIm_3MImH_2MeOH + MeOH -> 1Zn_0MIm_3MImH_3MeOH,-15.726500000000033,-5.648999999999887,-10.195300000195857,-5.963149909774074,-6.15360409222194,-5.3264999999969405
Add MeOH,1Zn_0MIm_4MImH_0MeOH,1Zn_0MIm_4MImH_1MeOH,1Zn_0MIm_4MImH_0MeOH + MeOH -> 1Zn_0MIm_4MImH_1MeOH,-17.535299999999996,-1.5075000000019827,-6.570800000044983,-2.0313835320121143,-1.326953179348493,-3.133000000002994
Add MeOH,1Zn_0MIm_4MImH_1MeOH,1Zn_0MIm_4MImH_2MeOH,1Zn_0MIm_4MImH_1MeOH + MeOH -> 1Zn_0MIm_4MImH_2MeOH,-19.419500000000017,-12.285500000000411,-14.059599999978673,-10.290101053804392,-9.839659625809873,-7.8629999999989195
