complex,boxprmtop-charge,run0(mm),run8(mdftb/3ob'),run8(Mk Charge),run110(mdftb/run59opt),run110(Mk Charge),run102(RHF),run41(M052X),notes
1Zn_0MIm_0MImH_4MeOH_full,2.00000,2.3,0.3,0.5,1.1,0.2,0.3,0.3,
1Zn_0MIm_0MImH_5MeOH_full,2.00000,3.2,0.3,0.8,1.5,0.3,0.6,0.6,
1Zn_0MIm_0MImH_6MeOH_full,2.00000,2.3,0.1,0.8,1.3,0.3,0.7,0.7,
1Zn_0MIm_1MImH_3MeOH_full,2.00000,6.2,1.5,1.9,2.4,2.0,2.4,2.1,
1Zn_0MIm_1MImH_4MeOH_full,2.00000,5.4,0.7,1.2,1.6,1.1,1.6,1.4,
1Zn_0MIm_1MImH_5MeOH_full,2.00000,2.7,1.0,0.9,0.8,1.0,1.2,1.0,
1Zn_0MIm_2MImH_2MeOH_full,2.00000,3.2,0.9,0.9,1.2,1.0,1.1,1.0,
1Zn_0MIm_2MImH_3MeOH_full,2.00000,1.6,1.0,0.8,0.7,0.9,1.1,0.9,
1Zn_0MIm_2MImH_4MeOH_full,2.00000,1.6,0.6,1.1,1.5,0.7,1.2,0.9,
1Zn_0MIm_3MImH_1MeOH_full,2.00000,1.2,0.5,1.1,1.3,0.6,1.3,1.0,
1Zn_0MIm_3MImH_2MeOH_full,2.00000,2.0,1.0,1.5,1.7,1.2,1.9,1.5,
1Zn_0MIm_3MImH_3MeOH_full,2.00000,4.2,1.4,1.0,1.0,1.5,1.9,1.4,
1Zn_0MIm_4MImH_0MeOH_full,2.00000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1Zn_0MIm_4MImH_1MeOH_full,2.00000,3.3,1.1,1.7,2.0,1.5,2.1,1.7,
1Zn_0MIm_4MImH_2MeOH_full,2.00000,2.1,1.1,1.6,1.7,1.4,1.9,1.6,
1Zn_0MIm_5MImH_0MeOH_full,2.00000,1.1,0.6,0.8,0.9,0.7,1.0,0.8,
1Zn_0MIm_5MImH_1MeOH_full,2.00000,2.9,1.4,2.3,2.4,1.6,2.3,2.0,
1Zn_0MIm_6MImH_0MeOH_full,2.00000,2.6,1.4,2.0,2.1,1.7,2.1,1.7,
