id	formula_id	formula	n_MIm+n_MImH	n_MIm	n_MImH	n_MeOH	CN	charge	geometry	isomerid	msmiles
1	1	1Zn_0MIm_0MImH_4MeOH	0	0	0	4	4	2	4_tetrahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|4_tetrahedral
2	2	1Zn_0MIm_0MImH_5MeOH	0	0	0	5	5	2	5_square_pyramidal	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_square_pyramidal
3	2	1Zn_0MIm_0MImH_5MeOH	0	0	0	5	5	2	5_trigonal_bipyramidal	2	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
4	3	1Zn_0MIm_0MImH_6MeOH	0	0	0	6	6	2	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
5	4	1Zn_0MIm_1MImH_3MeOH	1	0	1	3	4	2	4_tetrahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|C[OH:3]|C[OH:4]|4_tetrahedral
6	5	1Zn_0MIm_1MImH_4MeOH	1	0	1	4	5	2	5_square_pyramidal	1	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_square_pyramidal
7	5	1Zn_0MIm_1MImH_4MeOH	1	0	1	4	5	2	5_square_pyramidal	2	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
8	5	1Zn_0MIm_1MImH_4MeOH	1	0	1	4	5	2	5_trigonal_bipyramidal	3	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
9	5	1Zn_0MIm_1MImH_4MeOH	1	0	1	4	5	2	5_trigonal_bipyramidal	4	[Zn+2]|C[OH:1]|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
10	6	1Zn_0MIm_1MImH_5MeOH	1	0	1	5	6	2	6_octahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
11	7	1Zn_1MIm_0MImH_3MeOH	1	1	0	3	4	1	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|C[OH:3]|C[OH:4]|4_tetrahedral
12	8	1Zn_1MIm_0MImH_4MeOH	1	1	0	4	5	1	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_square_pyramidal
13	8	1Zn_1MIm_0MImH_4MeOH	1	1	0	4	5	1	5_square_pyramidal	2	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
14	8	1Zn_1MIm_0MImH_4MeOH	1	1	0	4	5	1	5_trigonal_bipyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
15	8	1Zn_1MIm_0MImH_4MeOH	1	1	0	4	5	1	5_trigonal_bipyramidal	4	[Zn+2]|C[OH:1]|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
16	9	1Zn_1MIm_0MImH_5MeOH	1	1	0	5	6	1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
17	10	1Zn_0MIm_2MImH_2MeOH	2	0	2	2	4	2	4_tetrahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|4_tetrahedral
18	11	1Zn_0MIm_2MImH_3MeOH	2	0	2	3	5	2	5_square_pyramidal	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|C[OH:5]|5_square_pyramidal
19	11	1Zn_0MIm_2MImH_3MeOH	2	0	2	3	5	2	5_square_pyramidal	2	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_square_pyramidal
20	11	1Zn_0MIm_2MImH_3MeOH	2	0	2	3	5	2	5_square_pyramidal	3	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|C[OH:3]|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
21	11	1Zn_0MIm_2MImH_3MeOH	2	0	2	3	5	2	5_trigonal_bipyramidal	4	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
22	11	1Zn_0MIm_2MImH_3MeOH	2	0	2	3	5	2	5_trigonal_bipyramidal	5	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
23	11	1Zn_0MIm_2MImH_3MeOH	2	0	2	3	5	2	5_trigonal_bipyramidal	6	[Zn+2]|C[OH:1]|C[OH:2]|Cc1[n:3]cc[nH]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
24	12	1Zn_0MIm_2MImH_4MeOH	2	0	2	4	6	2	6_octahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
25	12	1Zn_0MIm_2MImH_4MeOH	2	0	2	4	6	2	6_octahedral	2	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
26	13	1Zn_1MIm_1MImH_2MeOH	2	1	1	2	4	1	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|4_tetrahedral
27	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|C[OH:5]|5_square_pyramidal
28	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_square_pyramidal
29	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|C[OH:3]|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
30	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_square_pyramidal	4	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|C[OH:3]|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
31	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_trigonal_bipyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
32	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_trigonal_bipyramidal	6	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
33	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_trigonal_bipyramidal	7	[Zn+2]|Cc1[n:1]cc[nH]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
34	14	1Zn_1MIm_1MImH_3MeOH	2	1	1	3	5	1	5_trigonal_bipyramidal	8	[Zn+2]|C[OH:1]|C[OH:2]|Cc1ncc[n-:3]1|Cc1[n:4]cc[nH]1|C[OH:5]|5_trigonal_bipyramidal
35	15	1Zn_1MIm_1MImH_4MeOH	2	1	1	4	6	1	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
36	15	1Zn_1MIm_1MImH_4MeOH	2	1	1	4	6	1	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
37	16	1Zn_2MIm_0MImH_2MeOH	2	2	0	2	4	0	4_tetrahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|C[OH:3]|C[OH:4]|4_tetrahedral
38	17	1Zn_2MIm_0MImH_3MeOH	2	2	0	3	5	0	5_square_pyramidal	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|C[OH:3]|C[OH:4]|C[OH:5]|5_square_pyramidal
39	17	1Zn_2MIm_0MImH_3MeOH	2	2	0	3	5	0	5_square_pyramidal	2	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_square_pyramidal
40	17	1Zn_2MIm_0MImH_3MeOH	2	2	0	3	5	0	5_square_pyramidal	3	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|C[OH:3]|C[OH:4]|Cc1ncc[n-:5]1|5_square_pyramidal
41	17	1Zn_2MIm_0MImH_3MeOH	2	2	0	3	5	0	5_trigonal_bipyramidal	4	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
42	17	1Zn_2MIm_0MImH_3MeOH	2	2	0	3	5	0	5_trigonal_bipyramidal	5	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
43	17	1Zn_2MIm_0MImH_3MeOH	2	2	0	3	5	0	5_trigonal_bipyramidal	6	[Zn+2]|C[OH:1]|C[OH:2]|Cc1ncc[n-:3]1|Cc1ncc[n-:4]1|C[OH:5]|5_trigonal_bipyramidal
44	18	1Zn_2MIm_0MImH_4MeOH	2	2	0	4	6	0	6_octahedral	1	[Zn+2]|Cc1ncc[n-:1]1|Cc1ncc[n-:2]1|C[OH:3]|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
45	18	1Zn_2MIm_0MImH_4MeOH	2	2	0	4	6	0	6_octahedral	2	[Zn+2]|Cc1ncc[n-:1]1|C[OH:2]|Cc1ncc[n-:3]1|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
46	19	1Zn_0MIm_3MImH_1MeOH	3	0	3	1	4	2	4_tetrahedral	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|4_tetrahedral
47	20	1Zn_0MIm_3MImH_2MeOH	3	0	3	2	5	2	5_square_pyramidal	1	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|Cc1[n:3]cc[nH]1|C[OH:4]|C[OH:5]|5_square_pyramidal
48	20	1Zn_0MIm_3MImH_2MeOH	3	0	3	2	5	2	5_square_pyramidal	2	[Zn+2]|Cc1[n:1]cc[nH]1|Cc1[n:2]cc[nH]1|C[OH:3]|C[OH:4]|Cc1[n:5]cc[nH]1|5_square_pyramidal
