id	formula_id	formula	n_NO3	n_NO3_mono	n_NO3_bi	n_MeOH	CN	charge	geometry	isomerid	msmiles
1	1	1Zn_0NO3_4MeOH	0	0	0	4	4	2	4_tetrahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|4_tetrahedral
2	2	1Zn_0NO3_5MeOH	0	0	0	5	5	2	5_square_pyramidal	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_square_pyramidal
3	2	1Zn_0NO3_5MeOH	0	0	0	5	5	2	5_trigonal_bipyramidal	2	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|5_trigonal_bipyramidal
4	3	1Zn_0NO3_6MeOH	0	0	0	6	6	2	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|C[OH:5]|C[OH:6]|6_octahedral
5	4	1Zn_1NO3_2MeOH	1	0	1	2	4	1	4_tetrahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|[O-:3][N+](=O)[O-:4]|4_tetrahedral
6	5	1Zn_1NO3_3MeOH	1	0	1	3	5	1	5_square_pyramidal	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-:5]|5_square_pyramidal
7	5	1Zn_1NO3_3MeOH	1	0	1	3	5	1	5_square_pyramidal	2	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:4]|C[OH:3]|C[OH:5]|5_square_pyramidal
8	5	1Zn_1NO3_3MeOH	1	0	1	3	5	1	5_trigonal_bipyramidal	3	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-:5]|5_trigonal_bipyramidal
9	5	1Zn_1NO3_3MeOH	1	0	1	3	5	1	5_trigonal_bipyramidal	4	[Zn+2]|C[OH:1]|[O-:2][N+](=O)[O-:5]|C[OH:3]|C[OH:4]|5_trigonal_bipyramidal
10	6	1Zn_1NO3_4MeOH	1	0	1	4	6	1	6_octahedral	1	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-:6]|C[OH:5]|6_octahedral
11	5	1Zn_1NO3_3MeOH	1	1	0	3	4	1	4_tetrahedral	5	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-]|4_tetrahedral
12	6	1Zn_1NO3_4MeOH	1	1	0	4	5	1	5_square_pyramidal	2	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|[O-:5][N+](=O)[O-]|5_square_pyramidal
13	6	1Zn_1NO3_4MeOH	1	1	0	4	5	1	5_square_pyramidal	3	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|[O-:4][N+](=O)[O-]|C[OH:5]|5_square_pyramidal
14	6	1Zn_1NO3_4MeOH	1	1	0	4	5	1	5_trigonal_bipyramidal	4	[Zn+2]|C[OH:1]|C[OH:2]|C[OH:3]|C[OH:4]|[O-:5][N+](=O)[O-]|5_trigonal_bipyramidal
