Phase,Run,Method,BSSE,Ebind_1Zn_0MImH_4MeOH,Ebind_1Zn_1MImH_3MeOH,Ebind_1Zn_2MImH_2MeOH,Ebind_1Zn_3MImH_1MeOH,Ebind_1Zn_4MImH_0MeOH,dE_0_1,dE_1_2,dE_2_3,dE_3_4,E_Zn,E_MImH,E_MeOH,E_1Zn_0MImH_4MeOH,E_1Zn_1MImH_3MeOH,E_1Zn_2MImH_2MeOH,E_1Zn_3MImH_1MeOH,E_1Zn_4MImH_0MeOH
SP_init,run7,GFN2-xTB,no,-888.6175999999978,-935.0928999999996,-973.1362999999983,-1004.2029999999941,-1031.5502999999953,-46.47529999999824,-38.043399999998655,-31.0666999999994,-27.34730000000127,1095.0519,-10961.7088,-5161.6304,-20440.0873,-26286.641,-32124.7628,-37955.9079,-43783.3336
SP_opt,run7,GFN2-xTB,no,-891.4507999999987,-937.4876000000004,-974.1048999999985,-1004.9795999999988,-1031.8559999999998,-46.03679999999986,-36.61729999999989,-30.874699999998484,-26.876399999999194,1095.0519,-10962.9834,-5161.9672,-20444.2677,-26291.3207,-32128.9542,-37960.8451,-43788.7377
SP_opt,run6,DFTB3-D3 DampingH,no,-325.1221000000005,-365.23229999999967,-400.58989999999903,-432.339299999996,-461.1194999999934,-40.11019999999917,-35.357599999999366,-31.749400000000605,-28.78019999999742,-2077.4512,-8719.5187,-4094.2204,-18779.4549,-23444.8634,-28105.5193,-32762.567,-37416.6455
SP_init,run9,mDFTB3D3/3ob,no,-331.9988999999987,-371.8783000000003,-407.6826000000001,-440.0185999999994,-469.4499999999971,-39.879399999999805,-35.804300000001604,-32.33600000000115,-29.431399999999485,-2077.4512,-8711.0891,-4088.5259,-18763.5537,-23425.9963,-28084.3638,-32739.263,-37391.2576
SP_opt,run9,mDFTB3D3/3ob,no,-333.6094000000012,-372.98489999999947,-408.1794000000009,-439.6159000000007,-468.27160000000003,-39.37549999999828,-35.194500000001426,-31.436500000003434,-28.655699999999342,-2077.4512,-8711.911,-4088.7262,-18765.9654,-23428.5257,-28086.905,-32741.5263,-37393.3668
SP_init,run6,DFTB3-D3 DampingH,no,-325.35489999999845,-364.6151000000027,-400.1596000000027,-431.9863000000005,-460.9380000000019,-39.26020000000062,-35.54450000000361,-31.826700000001438,-28.951700000001438,-2077.4512,-8719.0173,-4093.8791,-18778.3225,-23442.7209,-28103.4036,-32760.3685,-37414.4584
SP_init,run15,mDFTB3D3/3ob_prime O_unmodified,no,-334.278199999997,-373.30189999999857,-407.655700000003,-439.4506000000001,-468.2204999999958,-39.023700000001554,-34.35380000000441,-31.79490000000078,-28.769899999995687,-2077.4512,-8708.0265,-4083.3483,-18745.1226,-23408.8245,-28067.8565,-32724.3296,-37377.7777
SP_opt,run1,DFTB3-D3,no,-330.26740000000063,-369.0665000000008,-403.45700000000215,-434.3856999999989,-462.5089999999982,-38.79909999999836,-34.39049999999952,-30.92870000000221,-28.123300000004747,-2077.4512,-8718.7057,-4091.747,-18774.7066,-23440.4644,-28101.8136,-32759.701,-37414.783
SP_opt,run17,DFTB3 DampingH,no,-319.83580000000075,-358.32640000000174,-391.6019000000051,-420.8625000000029,-446.48739999999816,-38.490600000000995,-33.275500000003376,-29.260600000001432,-25.62489999999525,-2077.4512,-8715.7977,-4093.4932,-18771.2598,-23432.0549,-28087.6349,-32739.2,-37387.1294
SP_init,run1,DFTB3-D3,no,-330.5147999999972,-368.5031999999992,-403.03809999999794,-434.0810999999994,-462.36469999999827,-37.98840000000018,-34.53490000000056,-31.043000000003303,-28.28360000000066,-2077.4512,-8718.1965,-4091.3672,-18773.4348,-23438.2525,-28099.6167,-32757.489,-37412.6019
