Phase,Run,Method,BSSE,[Zn·MeOH₄]²⁺ + MImH → [Zn·MImH·MeOH₃]²⁺ + MeOH,[Zn·MImH·MeOH₃]²⁺ + MImH → [Zn·(MImH)₂·MeOH₂]²⁺ + MeOH,[Zn·(MImH)₂·MeOH₂]²⁺ + MImH → [Zn·(MImH)₃·MeOH]²⁺ + MeOH,[Zn·(MImH)₃·MeOH]²⁺ + MImH → [Zn·(MImH)₄]²⁺ + MeOH,[Zn·MeOH₄]²⁺ Ebind,[Zn·MImH·MeOH₃]²⁺ Ebind,[Zn·(MImH)₂·MeOH₂]²⁺ Ebind,[Zn·(MImH)₃·MeOH]²⁺ Ebind,[Zn·(MImH)₄]²⁺ Ebind
SP_opt,run0,MM,no,-20.0,-19.7,-19.7,-19.5,-256.6,-276.7,-296.4,-316.1,-335.6
SP_opt,run5,MM OPC,no,-20.6,-20.0,-20.1,-19.7,-279.6,-300.1,-320.1,-340.2,-359.9
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-35.0,-30.7,-28.6,-25.3,-305.0,-340.0,-370.7,-399.2,-424.5
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-35.4,-31.4,-29.3,-26.4,-307.9,-343.3,-374.7,-404.1,-430.5
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,yes,-36.3,-32.6,-28.5,-25.0,-312.0,-348.3,-380.8,-409.3,-434.3
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,yes,-36.5,-31.7,-29.0,-25.7,-327.3,-363.8,-395.5,-424.5,-450.2
SP_opt,run27,g-xTB,no,-36.6,-33.8,-30.7,-27.7,-321.5,-358.1,-391.9,-422.6,-450.3
SP_opt,run8,mDFTB3D3/3ob_prime,no,-37.0,-32.7,-29.6,-27.1,-340.3,-377.4,-410.1,-439.6,-466.7
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,yes,-37.7,-32.5,-29.3,-25.6,-326.2,-363.9,-396.3,-425.6,-451.2
SP_opt,run2,DFTB3-D3H5,no,-37.8,-33.8,-30.1,-27.1,-334.1,-371.9,-405.7,-435.8,-462.9
SP_opt,run15,mDFTB3D3/3ob_prime O_unmodified,no,-37.9,-33.3,-30.0,-27.4,-338.2,-376.1,-409.3,-439.3,-466.7
SP_opt,run17,DFTB3 DampingH,no,-38.5,-33.3,-29.3,-25.6,-319.8,-358.3,-391.6,-420.9,-446.5
SP_opt,run1,DFTB3-D3,no,-38.8,-34.4,-30.9,-28.1,-330.3,-369.1,-403.5,-434.4,-462.5
SP_opt,run9,mDFTB3D3/3ob,no,-39.4,-35.2,-31.4,-28.7,-333.6,-373.0,-408.2,-439.6,-468.3
SP_opt,run6,DFTB3-D3 DampingH,no,-40.1,-35.4,-31.7,-28.8,-325.1,-365.2,-400.6,-432.3,-461.1
SP_opt,run7,GFN2-xTB,no,-46.0,-36.6,-30.9,-26.9,-891.5,-937.5,-974.1,-1005.0,-1031.9
