Phase,Run,Method,BSSE,Ebind_1Zn_0MIm_4MeOH,Ebind_1Zn_1MIm_3MeOH,Ebind_1Zn_2MIm_2MeOH,Ebind_1Zn_3MIm_1MeOH,Ebind_1Zn_4MIm_0MeOH,dE_0_1,dE_1_2,dE_2_3,dE_3_4,E_Zn,E_MIm,E_MeOH,E_1Zn_0MIm_4MeOH,E_1Zn_1MIm_3MeOH,E_1Zn_2MIm_2MeOH,E_1Zn_3MIm_1MeOH,E_1Zn_4MIm_0MeOH
SP_init,run9,mDFTB3D3/3ob,no,-331.9988999999987,-560.0408000000025,-704.5126000000018,-763.7176000000036,-752.9150999999983,-228.0419000000038,-144.47179999999935,-59.20499999999447,10.802499999997963,-2077.4512,-8468.4962,-4088.5259,-18763.5537,-23371.5659,-27896.008,-32335.1833,-36704.3511
SP_opt,run9,mDFTB3D3/3ob,no,-333.6094000000012,-560.3970999999983,-704.4349999999977,-762.8970999999983,-750.8495999999941,-226.78770000000077,-144.03789999999935,-58.462100000004284,12.047500000007858,-2077.4512,-8469.6798,-4088.7262,-18765.9654,-23373.7067,-27898.6982,-32338.1139,-36707.02
SP_init,run7,GFN2-xTB,no,-888.6175999999978,-1111.679799999998,-1245.1346000000012,-1300.533199999998,-1288.8722000000053,-223.0622000000003,-133.45479999999952,-55.39860000000044,11.660999999992782,1095.0519,-10762.7226,-5161.6304,-20440.0873,-26264.2417,-31998.7887,-37655.2795,-43244.7107
SP_init,run15,mDFTB3D3/3ob_prime O_unmodified,no,-334.278199999997,-557.057499999999,-697.047599999998,-754.8028999999951,-743.5604999999923,-222.77930000000197,-139.99009999999907,-57.755300000004354,11.242400000002817,-2077.4512,-8474.0148,-4083.3483,-18745.1226,-23358.5684,-27889.225,-32337.6468,-36717.0709
SP_opt,run7,GFN2-xTB,no,-891.4507999999987,-1114.1622000000025,-1246.4539000000004,-1302.0913,-1289.4452999999994,-222.71140000000014,-132.29170000000158,-55.637399999999616,12.64600000000064,1095.0519,-10763.8963,-5161.9672,-20444.2677,-26268.9082,-32003.129,-37660.6955,-43249.9786
SP_init,run8,mDFTB3D3/3ob_prime,no,-337.82670000000144,-558.4932000000008,-697.6467999999986,-754.9469999999965,-743.5604999999923,-220.66649999999936,-139.15359999999782,-57.30019999999786,11.386500000000524,-2077.4512,-8474.0148,-4057.9061,-18646.9023,-23283.6775,-27838.9398,-32312.3487,-36717.0709
SP_opt,run15,mDFTB3D3/3ob_prime O_unmodified,no,-338.15450000000055,-558.7559000000001,-697.6671999999999,-754.0302999999985,-741.2261999999901,-220.60139999999956,-138.91129999999976,-56.36309999999503,12.804100000001199,-2077.4512,-8475.2432,-4083.696,-18750.3897,-23362.5383,-27892.9968,-32340.9071,-36719.6502
SP_opt,run8,mDFTB3D3/3ob_prime,no,-340.3230999999978,-559.5172999999995,-697.9298999999992,-754.1673999999985,-741.2261999999901,-219.1941999999981,-138.41259999999966,-56.237499999995634,12.941200000001118,-2077.4512,-8475.2432,-4058.4904,-18651.7359,-23287.6829,-27842.8483,-32315.8386,-36719.6502
SP_opt,run0,MM,no,-256.64349999999996,-475.1886,-586.4751,-637.7332,-629.3630999999999,-218.54510000000002,-111.28649999999999,-51.25810000000001,8.370100000000093,0.0,8.6957,5.2894,-235.4859,-450.6247,-558.5049,-606.3567,-594.5803
SP_opt,run6,DFTB3-D3 DampingH,no,-325.1221000000005,-542.0941999999995,-680.5087999999996,-736.7860999999939,-723.9459999999963,-216.97209999999905,-138.41459999999643,-56.27730000000156,12.840100000001257,-2077.4512,-8492.8788,-4094.2204,-18779.4549,-23395.0854,-27932.1584,-32387.0941,-36772.9124
SP_opt,run5,MM OPC,no,-279.5723,-496.2377,-606.8441,-665.8653999999999,-659.068,-216.66540000000003,-110.60640000000001,-59.02129999999988,6.797399999999925,0.0,8.6957,5.2894,-258.4147,-471.6738,-578.8739,-634.4889,-624.2852
SP_init,run6,DFTB3-D3 DampingH,no,-325.35489999999845,-541.6237000000001,-679.7870000000003,-736.4652999999962,-723.9207999999999,-216.268799999998,-138.16330000000016,-56.67829999999958,12.544499999996333,-2077.4512,-8492.4537,-4093.8791,-18778.3225,-23393.1659,-27929.9038,-32385.1567,-36771.1868
SP_opt,run17,DFTB3 DampingH,no,-319.83580000000075,-535.0476000000017,-670.4876000000004,-724.6553999999996,-709.0786999999982,-215.2118000000046,-135.4399999999987,-54.1678000000029,15.576700000005076,-2077.4512,-8489.562,-4093.4932,-18771.2598,-23382.5404,-27914.0492,-32364.2858,-36744.7779
SP_opt,run1,DFTB3-D3,no,-330.26740000000063,-544.9726999999984,-681.4621000000043,-736.7704000000012,-723.1745999999985,-214.7052999999978,-136.4894000000022,-55.30829999999696,13.595799999995506,-2077.4512,-8492.6292,-4091.747,-18774.7066,-23390.2941,-27927.6657,-32383.8562,-36771.1426
SP_opt,run2,DFTB3-D3H5,no,-334.11719999999696,-548.8156000000017,-685.1627000000008,-739.962400000004,-725.7517999999982,-214.69840000000113,-136.34710000000268,-54.79969999999594,14.210600000005797,-2077.4512,-8489.953,-4090.5102,-18773.6092,-23387.7504,-27923.5403,-32377.7828,-36763.015
SP_init,run17,DFTB3 DampingH,no,-320.04569999999876,-534.4389999999985,-669.7707999999984,-724.3325999999979,-709.0044999999955,-214.3932999999961,-135.33179999999993,-54.56180000000313,15.328099999998813,-2077.4512,-8489.1452,-4093.1521,-18770.1053,-23380.4917,-27911.8166,-32362.3715,-36743.0365
