Phase,Run,Method,BSSE,[Zn·MeOH₄]⁺ + MIm → [Zn·MIm·MeOH₃]⁺ + MeOH,[Zn·MIm·MeOH₃]⁺ + MIm → [Zn·(MIm)₂·MeOH₂]⁺ + MeOH,[Zn·(MIm)₂·MeOH₂]⁺ + MIm → [Zn·(MIm)₃·MeOH]⁺ + MeOH,[Zn·(MIm)₃·MeOH]⁺ + MIm → [Zn·(MIm)₄]⁺ + MeOH,Ebind_1Zn_0MIm_4MeOH,Ebind_1Zn_1MIm_3MeOH,Ebind_1Zn_2MIm_2MeOH,Ebind_1Zn_3MIm_1MeOH,Ebind_1Zn_4MIm_0MeOH
SP_init,run22,RI-MP2 RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-197.8,-125.7,-50.3,14.5,-307.9,-505.7,-631.4,-681.7,-667.3
SP_init,run24,DLPNO-CCSD(T) RIJCOSX def2-TZVPPD def2-TZVPPD/C AutoAux,yes,-198.0,-125.4,-50.2,14.9,-305.0,-502.9,-628.3,-678.5,-663.6
SP_init,run23,B3LYP def2-TZVPPD D3BJ AutoAux,yes,-200.1,-125.8,-49.2,15.6,-327.3,-527.4,-653.2,-702.5,-686.8
SP_init,run13,M06L-D3 def2-TZVPPD DEFGRID3,yes,-202.7,-128.7,-48.7,16.7,-312.0,-514.6,-643.3,-692.1,-675.4
SP_init,run16,PBE-D3(BJ) def2-TZVPPD,yes,-202.9,-126.5,-48.3,16.6,-326.2,-529.1,-655.7,-704.0,-687.3
SP_opt,run27,g-xTB,no,-204.6,-127.2,-54.5,13.4,-321.5,-526.1,-653.3,-707.7,-694.3
SP_opt,run2,DFTB3-D3H5,no,-214.7,-136.3,-54.8,14.2,-334.1,-548.8,-685.2,-740.0,-725.8
SP_opt,run1,DFTB3-D3,no,-214.7,-136.5,-55.3,13.6,-330.3,-545.0,-681.5,-736.8,-723.2
SP_opt,run17,DFTB3 DampingH,no,-215.2,-135.4,-54.2,15.6,-319.8,-535.0,-670.5,-724.7,-709.1
SP_opt,run5,MM OPC,no,-216.7,-110.6,-59.0,6.8,-279.6,-496.2,-606.8,-665.9,-659.1
SP_opt,run6,DFTB3-D3 DampingH,no,-217.0,-138.4,-56.3,12.8,-325.1,-542.1,-680.5,-736.8,-723.9
SP_opt,run0,MM,no,-218.5,-111.3,-51.3,8.4,-256.6,-475.2,-586.5,-637.7,-629.4
SP_opt,run8,mDFTB3D3/3ob_prime,no,-219.2,-138.4,-56.2,12.9,-340.3,-559.5,-697.9,-754.2,-741.2
SP_opt,run15,mDFTB3D3/3ob_prime O_unmodified,no,-220.6,-138.9,-56.4,12.8,-338.2,-558.8,-697.7,-754.0,-741.2
SP_opt,run7,GFN2-xTB,no,-222.7,-132.3,-55.6,12.6,-891.5,-1114.2,-1246.5,-1302.1,-1289.4
SP_opt,run9,mDFTB3D3/3ob,no,-226.8,-144.0,-58.5,12.0,-333.6,-560.4,-704.4,-762.9,-750.8
