Phase,Run,Method,BSSE,Ebind_1Zn_0MIm_5MeOH,Ebind_1Zn_0MIm_6MeOH,Ebind_1Zn_1MIm_5MeOH,Ebind_1Zn_2MIm_3MeOH,Ebind_1Zn_5MIm_0MeOH,dE(1Zn_0MIm_6MeOH->1Zn_1MIm_5MeOH) +1MIm-1MeOH,dE(1Zn_1MIm_5MeOH->1Zn_2MIm_3MeOH) +1MIm-2MeOH,dE(1Zn_2MIm_3MeOH->1Zn_5MIm_0MeOH) +3MIm-3MeOH,E_Zn,E_MIm,E_MeOH,E_1Zn_0MIm_5MeOH,E_1Zn_0MIm_6MeOH,E_1Zn_1MIm_5MeOH,E_1Zn_2MIm_3MeOH,E_1Zn_5MIm_0MeOH
minimize,run9,mDFTB3D3/3ob,no,-357.2577999999994,-378.89100000000326,-587.6576999999961,-715.7511999999988,-652.3004999999976,-208.76669999999467,-128.09350000000086,63.450700000001234,-2077.4512,-8469.6789,-4088.7262,-22878.34,-26988.6994,-31578.4188,-31998.7388,-45078.1462
minimize,run15,mDFTB3D3/3ob_prime O_unmodified,no,-366.5554000000011,-391.8071999999993,-592.109800000002,-712.4456000000027,-644.3292999999976,-200.30259999999907,-120.33580000000438,68.1163000000015,-2077.4512,-8475.2421,-4083.696,-22862.4866,-26971.4344,-31563.2831,-31991.469,-45097.991
minimize,run6,DFTB3-D3 DampingH,no,-350.33400000000256,-372.8993999999984,-572.2795000000042,-692.3859999999986,-627.2516999999934,-199.3801000000003,-120.10649999999623,65.13429999999789,-2077.4512,-8492.8778,-4094.2204,-22898.8872,-27015.673,-31613.7105,-32038.254,-45169.0919
minimize,run8,mDFTB3D3/3ob_prime,no,-368.1277999999984,-393.39320000000225,-592.3790999999983,-712.6107000000011,-644.3292999999976,-198.98589999999604,-120.23159999999916,68.28139999999621,-2077.4512,-8475.2421,-4058.4904,-22738.031,-26821.7868,-31437.5244,-31916.0173,-45097.991
SP_init,run8,mDFTB3D3/3ob_prime,no,-365.66379999999845,-391.3858,-589.6899000000012,-711.084899999998,-644.7539999999935,-198.30410000000302,-121.39499999999498,66.3308999999972,-2077.4512,-8474.0382,-4057.9061,-22732.6455,-26816.2736,-31430.7098,-31910.3308,-45092.3962
minimize,run1,DFTB3-D3,no,-355.1108999999997,-377.3974999999991,-574.7124999999978,-693.5601999999999,-626.4009000000005,-197.3149999999987,-118.84769999999844,67.15929999999571,-2077.4512,-8492.6283,-4091.747,-22891.2971,-27005.3307,-31603.527,-32031.509,-45166.9936
minimize,run2,DFTB3-D3H5,no,-360.57120000000214,-384.3657999999996,-581.5691999999981,-701.022100000002,-629.3389999999999,-197.2033999999967,-119.45290000000205,71.68310000000201,-2077.4512,-8489.9517,-4090.5102,-22890.5734,-27004.8782,-31601.5231,-32029.9073,-45156.5487
minimize,run17,DFTB3 DampingH,no,-342.1186999999991,-361.4067000000032,-557.7583000000013,-679.4402000000009,-603.9551999999967,-196.35159999999632,-121.68189999999777,75.48499999999694,-2077.4512,-8489.561,-4093.4932,-22887.0359,-26999.8171,-31592.2365,-32016.493,-45129.2114
SP_init,run7,GFN2-xTB,no,-924.5551999999952,-953.9419999999991,-1149.9527999999918,-1259.1299999999974,-1197.419999999991,-196.0107999999982,-109.17720000000736,61.7100000000064,1095.0519,-10762.6488,-5161.6304,-25637.6553,-30828.6725,-36625.7017,-37174.2669,-53915.6121
minimize,run7,GFN2-xTB,no,-926.7842999999993,-957.9370999999956,-1153.1127000000051,-1261.016499999998,-1198.8251000000018,-195.1756000000023,-107.90380000000005,62.191399999996065,1095.0519,-10763.8946,-5161.9672,-25641.5684,-30834.6884,-36631.7914,-37179.6554,-53923.2462
